ord_number,ordtime,exchange,sym,tsym,token,instrument,lotsize,qty,avgprice,margin,totalprice,netprice,trantype,status
2180390,2023-07-28 12:15:00,NFO,RBLBANK,RBLBANK31AUG23C237.5,172745,OPTSTK,5000,5000,12.9,64500.0,64500.0,-64500.0,B,N
3925158,2023-07-28 12:15:00,NFO,IEX,IEX31AUG23C123,148604,OPTSTK,3750,15000,6.05,90750.0,90750.0,-90750.0,B,N
3728650,2023-07-28 12:15:00,NFO,BSOFT,BSOFT31AUG23C415,102351,OPTSTK,2000,4000,21.2,84800.0,84800.0,-84800.0,B,N
8970218,2023-07-28 12:15:00,NFO,MOTHERSON,MOTHERSON31AUG23P98,135856,OPTSTK,7100,21300,3.95,84135.0,84135.0,-84135.0,B,N
3120339,2023-07-28 12:15:00,NFO,AXISBANK,AXISBANK31AUG23P950,88571,OPTSTK,625,5000,19.95,99750.0,99750.0,-99750.0,B,N
8253426,2023-07-28 12:15:00,NFO,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,600,118.1,70860.0,70860.0,-70860.0,B,N
2823413,2023-07-28 12:16:00,NFO,RBLBANK,RBLBANK31AUG23C237.5,172745,OPTSTK,5000,5000,12.9,64500.0,64500.0,64500.0,S,N
7991019,2023-07-28 12:16:00,NFO,IEX,IEX31AUG23C123,148604,OPTSTK,3750,15000,6.05,90750.0,90750.0,90750.0,S,N
3238106,2023-07-28 12:16:00,NFO,BSOFT,BSOFT31AUG23C415,102351,OPTSTK,2000,4000,21.2,84800.0,84800.0,84800.0,S,N
9106504,2023-07-28 13:01:00,NFO,MOTHERSON,MOTHERSON31AUG23P98,135856,OPTSTK,7100,21300,4.35,84135.0,92654.99999999999,92654.99999999999,S,N
9104904,2023-07-28 13:15:00,NFO,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,600,125.95,75570.0,75570.0,-75570.0,B,N
8264332,2023-07-28 13:15:00,NFO,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,10800,9.0,97200.0,97200.0,-97200.0,B,N
1580868,2023-07-28 13:22:00,NFO,AXISBANK,AXISBANK31AUG23P950,88571,OPTSTK,625,5000,21.6,99750.0,108000.0,108000.0,S,N
3543315,2023-07-28 14:14:00,NFO,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,10800,9.25,97200.0,99900.0,99900.0,S,N
6487896,2023-07-28 14:15:00,NFO,MOTHERSON,MOTHERSON31AUG23P97,135854,OPTSTK,7100,21300,4.1,87329.99999999999,87329.99999999999,-87329.99999999999,B,N
9624192,2023-07-28 14:15:00,NFO,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,600,132.65,79590.0,79590.0,-79590.0,B,N
6159934,2023-07-28 14:15:00,NFO,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,10800,9.25,99900.0,99900.0,-99900.0,B,N
2232594,2023-07-28 14:27:00,NFO,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,10800,10.1,99900.0,109080.0,109080.0,S,N
3174869,2023-07-28 15:15:00,NFO,SUNTV,SUNTV31AUG23C545,143210,OPTSTK,1500,3000,24.05,72150.0,72150.0,-72150.0,B,N
9771716,2023-07-28 15:15:00,NFO,LALPATHLAB,LALPATHLAB31AUG23P2360,133208,OPTSTK,300,600,118.65,71190.0,71190.0,-71190.0,B,N
4564046,2023-07-28 15:15:00,NFO,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,8100,9.6,77760.0,77760.0,-77760.0,B,N
1165087,2023-07-28 15:26:00,NFO,SUNTV,SUNTV31AUG23C545,143210,OPTSTK,1500,3000,23.6,72150.0,70800.0,70800.0,S,N
9903852,2023-07-28 15:26:00,NFO,MOTHERSON,MOTHERSON31AUG23P97,135854,OPTSTK,7100,21300,3.75,87329.99999999999,79875.0,79875.0,S,N
3265521,2023-07-28 15:26:00,NFO,LALPATHLAB,LALPATHLAB31AUG23P2380,133222,OPTSTK,300,1800,127.0,226020.0,228600.0,228600.0,S,N
7428442,2023-07-28 15:26:00,NFO,LALPATHLAB,LALPATHLAB31AUG23P2360,133208,OPTSTK,300,600,110.4,71190.0,66240.0,66240.0,S,N
6892243,2023-07-28 15:26:00,NFO,HINDPETRO,HINDPETRO31AUG23P280,128476,OPTSTK,2700,8100,9.65,77760.0,78165.0,78165.0,S,N
