token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
15355,REC LIMITED,RECLTD,RECLTD-EQ,Ok,08-08-2023 09:15:00,1691466300,212.8,217.9,211.75,217.9,215.26,6737042,0,6809146,0,5.099999999999994,2.3966165413533806
694,CIPLA LTD,CIPLA,CIPLA-EQ,Ok,08-08-2023 09:15:00,1691466300,1224.95,1248.95,1224.15,1248.95,1239.96,452859,0,455187,0,24.0,1.959263643414017
1348,HERO MOTOCORP LIMITED,HEROMOTOCO,HEROMOTOCO-EQ,Ok,08-08-2023 09:15:00,1691466300,2999.65,3053.85,2998.0,3052.85,3036.53,424732,0,430731,0,53.19999999999982,1.7735402463620695
21690,DIXON TECHNO (INDIA) LTD,DIXON,DIXON-EQ,Ok,08-08-2023 09:15:00,1691466300,4723.0,4859.0,4700.0,4803.55,4798.0,387739,0,388761,0,80.55000000000018,1.7054838026677996
30108,ADITYA BIRLA FASHION & RT,ABFRL,ABFRL-EQ,Ok,08-08-2023 09:15:00,1691466300,199.95,203.3,199.9,203.1,201.99,1313768,0,1329287,0,3.1500000000000057,1.5753938484621186
11373,BIOCON LIMITED.,BIOCON,BIOCON-EQ,Ok,08-08-2023 09:15:00,1691466300,264.45,268.7,263.7,268.6,266.47,1581983,0,1606375,0,4.150000000000034,1.569294762715082
18391,RBL BANK LIMITED,RBLBANK,RBLBANK-EQ,Ok,08-08-2023 09:15:00,1691466300,216.6,219.8,216.4,219.65,218.51,1377804,0,1395080,0,3.0500000000000114,1.4081255771006516
16713,UNITED BREWERIES LTD,UBL,UBL-EQ,Ok,08-08-2023 09:15:00,1691466300,1557.0,1595.95,1557.0,1578.35,1580.49,18032,0,18063,0,21.34999999999991,1.3712267180475215
17971,SBI CARDS & PAY SER LTD,SBICARD,SBICARD-EQ,Ok,08-08-2023 09:15:00,1691466300,881.0,892.0,881.0,892.0,888.2,102090,0,102973,0,11.0,1.2485811577752552
13528,GMR AIRPORTS INFRA LTD,GMRINFRA,GMRINFRA-EQ,Ok,08-08-2023 09:15:00,1691466300,51.75,52.35,51.6,52.35,51.91,1057381,0,1109916,0,0.6000000000000014,1.1594202898550752
