token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
2412,PIRAMAL ENTERPRISES LTD,PEL,PEL-EQ,Ok,31-07-2023 09:15:00,1690775100,1074.05,1074.05,986.15,1003.15,1010.7,4302309,0,4302309,0,-70.89999999999998,-6.601182440296073
2043,THE RAMCO CEMENTS LIMITED,RAMCOCEM,RAMCOCEM-EQ,Ok,31-07-2023 09:15:00,1690775100,913.75,913.75,885.0,885.65,888.95,19334,0,19334,0,-28.100000000000023,-3.075239398084818
1624,INDIAN OIL CORP LTD,IOC,IOC-EQ,Ok,31-07-2023 09:15:00,1690775100,96.2,96.2,93.7,93.7,94.43,4369016,0,4369016,0,-2.5,-2.5987525987525983
157,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,APOLLOHOSP-EQ,Ok,31-07-2023 09:15:00,1690775100,5324.95,5339.95,5236.7,5239.6,5269.83,83988,0,83988,0,-85.34999999999945,-1.6028319514737128
21770,ICICI LOMBARD GIC LIMITED,ICICIGI,ICICIGI-EQ,Ok,31-07-2023 09:15:00,1690775100,1376.75,1378.6,1352.55,1355.1,1360.15,30292,0,30292,0,-21.65000000000009,-1.5725440348647244
547,BRITANNIA INDUSTRIES LTD,BRITANNIA,BRITANNIA-EQ,Ok,31-07-2023 09:15:00,1690775100,4910.4,4910.4,4836.6,4840.9,4861.16,30959,0,30959,0,-69.5,-1.415363310524601
4067,MARICO LIMITED,MARICO,MARICO-EQ,Ok,31-07-2023 09:15:00,1690775100,574.15,576.95,565.0,566.15,570.03,510316,0,510316,0,-8.0,-1.3933641034572848
7929,ZYDUS LIFESCIENCES LTD,ZYDUSLIFE,ZYDUSLIFE-EQ,Ok,31-07-2023 09:15:00,1690775100,643.85,643.95,634.05,635.55,638.04,75069,0,75069,0,-8.300000000000068,-1.2891201366778082
10243,SYNGENE INTERNATIONAL LTD,SYNGENE,SYNGENE-EQ,Ok,31-07-2023 09:15:00,1690775100,824.85,824.85,811.55,814.25,817.28,56983,0,56983,0,-10.600000000000023,-1.2850821361459688
11654,DR. LAL PATH LABS LTD.,LALPATHLAB,LALPATHLAB-EQ,Ok,31-07-2023 09:15:00,1690775100,2357.95,2361.75,2325.0,2329.0,2342.97,49424,0,49424,0,-28.949999999999818,-1.2277614029135402
