ord_number,ordtime,exchange,sym,tsym,token,instrument,lotsize,qty,avgprice,margin,totalprice,netprice,trantype,status
9625522,2023-07-31 12:15:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23C142.5,128840,OPTSTK,5100,10200,8.0,81600.0,81600.0,-81600.0,B,N
9299776,2023-07-31 12:15:00,NFO,TORNTPHARM,TORNTPHARM31AUG23C2000,147110,OPTSTK,500,1000,84.55,84550.0,84550.0,-84550.0,B,N
2463430,2023-07-31 12:15:00,NFO,ASTRAL,ASTRAL31AUG23C1980,86491,OPTSTK,367,1101,85.0,93585.0,93585.0,-93585.0,B,N
7062958,2023-07-31 12:15:00,NFO,BALRAMCHIN,BALRAMCHIN31AUG23C400,92409,OPTSTK,1600,4800,19.7,94560.0,94560.0,-94560.0,B,N
5804155,2023-07-31 12:15:00,NFO,COROMANDEL,COROMANDEL31AUG23C1010,110628,OPTSTK,700,2100,43.45,91245.0,91245.0,-91245.0,B,N
5877998,2023-07-31 12:15:00,NFO,PEL,PEL31AUG23P1020,73929,OPTSTK,750,2250,44.05,99112.5,99112.5,-99112.5,B,N
3894923,2023-07-31 12:15:00,NFO,IOC,IOC31AUG23P94,131393,OPTSTK,9750,87750,1.1,96525.00000000001,96525.00000000001,-96525.00000000001,B,N
4871016,2023-07-31 12:15:00,NFO,APOLLOHOSP,APOLLOHOSP31AUG23P5200,78130,OPTSTK,125,500,175.35,87675.0,87675.0,-87675.0,B,N
4450304,2023-07-31 12:16:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23C142.5,128840,OPTSTK,5100,10200,8.0,81600.0,81600.0,81600.0,S,N
3640040,2023-07-31 12:16:00,NFO,TORNTPHARM,TORNTPHARM31AUG23C2000,147110,OPTSTK,500,1000,84.85,84550.0,84850.0,84850.0,S,N
7936690,2023-07-31 12:16:00,NFO,ASTRAL,ASTRAL31AUG23C1980,86491,OPTSTK,367,1101,87.8,93585.0,96667.8,96667.8,S,N
4982345,2023-07-31 12:16:00,NFO,BALRAMCHIN,BALRAMCHIN31AUG23C400,92409,OPTSTK,1600,4800,19.7,94560.0,94560.0,94560.0,S,N
2859081,2023-07-31 12:16:00,NFO,COROMANDEL,COROMANDEL31AUG23C1010,110628,OPTSTK,700,2100,43.45,91245.0,91245.0,91245.0,S,N
7988969,2023-07-31 13:15:00,NFO,COROMANDEL,COROMANDEL31AUG23C1030,110632,OPTSTK,700,2100,41.6,87360.0,87360.0,-87360.0,B,N
3777132,2023-07-31 13:15:00,NFO,PEL,PEL31AUG23P1010,73927,OPTSTK,750,2250,38.5,86625.0,86625.0,-86625.0,B,N
4335891,2023-07-31 13:25:00,NFO,COROMANDEL,COROMANDEL31AUG23C1030,110632,OPTSTK,700,2100,41.5,87360.0,87150.0,87150.0,S,N
4041620,2023-07-31 14:15:00,NFO,COROMANDEL,COROMANDEL31AUG23C1030,110632,OPTSTK,700,2100,41.45,87045.0,87045.0,-87045.0,B,N
1967851,2023-07-31 14:37:00,NFO,COROMANDEL,COROMANDEL31AUG23C1030,110632,OPTSTK,700,2100,43.4,87045.0,91140.0,91140.0,S,N
1343037,2023-07-31 15:15:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23C145,128842,OPTSTK,5100,15300,6.5,99450.0,99450.0,-99450.0,B,N
7237523,2023-07-31 15:15:00,NFO,COROMANDEL,COROMANDEL31AUG23C1030,110632,OPTSTK,700,2100,42.6,89460.0,89460.0,-89460.0,B,N
5888000,2023-07-31 15:15:00,NFO,APOLLOHOSP,APOLLOHOSP31AUG23P5150,76492,OPTSTK,125,500,171.5,85750.0,85750.0,-85750.0,B,N
8427495,2023-07-31 15:26:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23C145,128842,OPTSTK,5100,15300,6.7,99450.0,102510.0,102510.0,S,N
5216265,2023-07-31 15:26:00,NFO,COROMANDEL,COROMANDEL31AUG23C1030,110632,OPTSTK,700,2100,42.5,89460.0,89250.0,89250.0,S,N
9731823,2023-07-31 15:26:00,NFO,PEL,PEL31AUG23P1020,73929,OPTSTK,750,2250,43.3,99112.5,97425.0,97425.0,S,N
4659785,2023-07-31 15:26:00,NFO,PEL,PEL31AUG23P1010,73927,OPTSTK,750,2250,37.15,86625.0,83587.5,83587.5,S,N
2244039,2023-07-31 15:26:00,NFO,IOC,IOC31AUG23P94,131393,OPTSTK,9750,87750,1.0,96525.00000000001,87750.0,87750.0,S,N
3611393,2023-07-31 15:26:00,NFO,APOLLOHOSP,APOLLOHOSP31AUG23P5200,78130,OPTSTK,125,500,188.95,87675.0,94475.0,94475.0,S,N
6829963,2023-07-31 15:26:00,NFO,APOLLOHOSP,APOLLOHOSP31AUG23P5150,76492,OPTSTK,125,500,164.6,85750.0,82300.0,82300.0,S,N
