ord_number,ordtime,exchange,sym,tsym,token,instrument,lotsize,qty,avgprice,margin,totalprice,netprice,trantype,status
4102964,2023-08-02 12:15:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23C147.5,128844,OPTSTK,5100,10200,8.0,81600.0,81600.0,-81600.0,B,N
9182651,2023-08-02 12:15:00,NFO,OBEROIRLTY,OBEROIRLTY31AUG23C1100,137806,OPTSTK,700,2100,45.85,96285.0,96285.0,-96285.0,B,N
4560878,2023-08-02 12:15:00,NFO,ESCORTS,ESCORTS31AUG23C2620,113750,OPTSTK,275,825,91.5,75487.5,75487.5,-75487.5,B,N
6921112,2023-08-02 12:15:00,NFO,PVRINOX,PVRINOX31AUG23C1600,140497,OPTSTK,407,1221,62.5,76312.5,76312.5,-76312.5,B,N
9385595,2023-08-02 12:15:00,NFO,NATIONALUM,NATIONALUM31AUG23P93,136620,OPTSTK,7500,30000,3.0,90000.0,90000.0,-90000.0,B,N
2296738,2023-08-02 12:15:00,NFO,TATASTEEL,TATASTEEL31AUG23P120,84828,OPTSTK,5500,27500,3.2,88000.0,88000.0,-88000.0,B,N
8292717,2023-08-02 12:15:00,NFO,HINDPETRO,HINDPETRO31AUG23P275,128472,OPTSTK,2700,10800,8.4,90720.0,90720.0,-90720.0,B,N
9316931,2023-08-02 12:15:00,NFO,CIPLA,CIPLA31AUG23P1160,106398,OPTSTK,650,3900,25.5,99450.0,99450.0,-99450.0,B,N
2051082,2023-08-02 12:15:00,NFO,CUMMINSIND,CUMMINSIND31AUG23P1900,111205,OPTSTK,600,1200,63.9,76680.0,76680.0,-76680.0,B,N
8044497,2023-08-02 12:16:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23C147.5,128844,OPTSTK,5100,10200,8.0,81600.0,81600.0,81600.0,S,N
6071932,2023-08-02 12:16:00,NFO,OBEROIRLTY,OBEROIRLTY31AUG23C1100,137806,OPTSTK,700,2100,45.85,96285.0,96285.0,96285.0,S,N
4115575,2023-08-02 12:16:00,NFO,ESCORTS,ESCORTS31AUG23C2620,113750,OPTSTK,275,825,91.0,75487.5,75075.0,75075.0,S,N
6598026,2023-08-02 12:16:00,NFO,PVRINOX,PVRINOX31AUG23C1600,140497,OPTSTK,407,1221,62.5,76312.5,76312.5,76312.5,S,N
2310790,2023-08-02 12:57:00,NFO,NATIONALUM,NATIONALUM31AUG23P93,136620,OPTSTK,7500,30000,3.3,90000.0,99000.0,99000.0,S,N
7242517,2023-08-02 13:15:00,NFO,PVRINOX,PVRINOX31AUG23C1600,140497,OPTSTK,407,1221,68.25,83333.25,83333.25,-83333.25,B,N
3593998,2023-08-02 13:15:00,NFO,NATIONALUM,NATIONALUM31AUG23P93,136620,OPTSTK,7500,30000,3.3,99000.0,99000.0,-99000.0,B,N
4489927,2023-08-02 13:15:00,NFO,HINDPETRO,HINDPETRO31AUG23P277.5,128474,OPTSTK,2700,10800,9.25,99900.0,99900.0,-99900.0,B,N
6134834,2023-08-02 13:16:00,NFO,PVRINOX,PVRINOX31AUG23C1600,140497,OPTSTK,407,1221,67.0,83333.25,81807.0,81807.0,S,N
5946808,2023-08-02 13:23:00,NFO,TATASTEEL,TATASTEEL31AUG23P120,84828,OPTSTK,5500,27500,3.3,88000.0,90750.0,90750.0,S,N
8975180,2023-08-02 13:31:00,NFO,HINDPETRO,HINDPETRO31AUG23P275,128472,OPTSTK,2700,10800,9.15,90720.0,98820.0,98820.0,S,N
3824947,2023-08-02 13:34:00,NFO,HINDPETRO,HINDPETRO31AUG23P277.5,128474,OPTSTK,2700,10800,10.5,99900.0,113400.0,113400.0,S,N
5664198,2023-08-02 13:51:00,NFO,CIPLA,CIPLA31AUG23P1160,106398,OPTSTK,650,3900,25.95,99450.0,101205.0,101205.0,S,N
2831992,2023-08-02 14:15:00,NFO,NATIONALUM,NATIONALUM31AUG23P92,136618,OPTSTK,7500,30000,3.25,97500.0,97500.0,-97500.0,B,N
2479574,2023-08-02 14:15:00,NFO,TATASTEEL,TATASTEEL31AUG23P118.4,144908,OPTSTK,5500,27500,3.2,88000.0,88000.0,-88000.0,B,N
5506800,2023-08-02 14:15:00,NFO,HINDPETRO,HINDPETRO31AUG23P275,128472,OPTSTK,2700,8100,9.3,75330.0,75330.0,-75330.0,B,N
7807729,2023-08-02 15:15:00,NFO,OBEROIRLTY,OBEROIRLTY31AUG23C1110,137808,OPTSTK,700,2100,44.95,94395.0,94395.0,-94395.0,B,N
2461096,2023-08-02 15:15:00,NFO,PVRINOX,PVRINOX31AUG23C1620,140499,OPTSTK,407,1628,58.0,94424.0,94424.0,-94424.0,B,N
8090304,2023-08-02 15:15:00,NFO,NATIONALUM,NATIONALUM31AUG23P92,136618,OPTSTK,7500,30000,2.75,82500.0,82500.0,-82500.0,B,N
7140406,2023-08-02 15:15:00,NFO,TATASTEEL,TATASTEEL31AUG23P119,84826,OPTSTK,5500,33000,2.95,97350.0,97350.0,-97350.0,B,N
4986460,2023-08-02 15:26:00,NFO,OBEROIRLTY,OBEROIRLTY31AUG23C1110,137808,OPTSTK,700,2100,44.8,94395.0,94080.0,94080.0,S,N
9864195,2023-08-02 15:26:00,NFO,PVRINOX,PVRINOX31AUG23C1620,140499,OPTSTK,407,1628,59.0,94424.0,96052.0,96052.0,S,N
5768009,2023-08-02 15:26:00,NFO,NATIONALUM,NATIONALUM31AUG23P93,136620,OPTSTK,7500,30000,3.45,99000.0,103500.0,103500.0,S,N
1473991,2023-08-02 15:26:00,NFO,NATIONALUM,NATIONALUM31AUG23P92,136618,OPTSTK,7500,60000,2.85,180000.0,171000.0,171000.0,S,N
3873427,2023-08-02 15:26:00,NFO,TATASTEEL,TATASTEEL31AUG23P118.4,144908,OPTSTK,5500,27500,2.75,88000.0,75625.0,75625.0,S,N
8348661,2023-08-02 15:26:00,NFO,TATASTEEL,TATASTEEL31AUG23P119,84826,OPTSTK,5500,33000,3.05,97350.0,100650.0,100650.0,S,N
2977400,2023-08-02 15:26:00,NFO,HINDPETRO,HINDPETRO31AUG23P275,128472,OPTSTK,2700,8100,7.95,75330.0,64395.0,64395.0,S,N
5070497,2023-08-02 15:26:00,NFO,CUMMINSIND,CUMMINSIND31AUG23P1900,111205,OPTSTK,600,1200,64.3,76680.0,77160.0,77160.0,S,N
