token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
30125,INDIABULLS HSG FIN LTD,IBULHSGFIN,IBULHSGFIN-EQ,Ok,02-08-2023 09:15:00,1690947900,141.65,149.0,141.5,148.8,146.41,8074369,0,8074369,0,7.150000000000006,5.047652665019418
20242,OBEROI REALTY LIMITED,OBEROIRLTY,OBEROIRLTY-EQ,Ok,02-08-2023 09:15:00,1690947900,1082.15,1112.0,1082.15,1109.0,1101.17,131115,0,131115,0,26.84999999999991,2.481171741440642
958,ESCORTS KUBOTA LIMITED,ESCORTS,ESCORTS-EQ,Ok,02-08-2023 09:15:00,1690947900,2569.0,2619.0,2531.0,2605.85,2591.58,391252,0,391252,0,36.84999999999991,1.4344102763721258
13147,PVR INOX LIMITED,PVRINOX,PVRINOX-EQ,Ok,02-08-2023 09:15:00,1690947900,1583.0,1614.0,1573.05,1605.0,1597.28,589292,0,589292,0,22.0,1.3897662665824384
1515,THE INDIA CEMENTS LIMITED,INDIACEM,INDIACEM-EQ,Ok,02-08-2023 09:15:00,1690947900,218.65,222.4,217.95,221.15,220.46,658485,0,658485,0,2.5,1.143379830779785
8479,TVS MOTOR COMPANY  LTD,TVSMOTOR,TVSMOTOR-EQ,Ok,02-08-2023 09:15:00,1690947900,1374.95,1396.0,1368.1,1389.9,1386.34,402713,0,402713,0,14.950000000000045,1.0873122659005814
14299,POWER FIN CORP LTD.,PFC,PFC-EQ,Ok,02-08-2023 09:15:00,1690947900,257.85,260.7,257.3,260.6,259.56,616733,0,616733,0,2.75,1.0665115377157262
1270,AMBUJA CEMENTS LTD,AMBUJACEM,AMBUJACEM-EQ,Ok,02-08-2023 09:15:00,1690947900,459.95,469.2,453.7,464.7,461.63,1927461,0,1927461,0,4.75,1.0327209479291226
2043,THE RAMCO CEMENTS LIMITED,RAMCOCEM,RAMCOCEM-EQ,Ok,02-08-2023 09:15:00,1690947900,882.0,897.6,878.8,890.3,891.04,43827,0,43827,0,8.299999999999955,0.9410430839002216
3721,TATA COMMUNICATIONS LTD,TATACOMM,TATACOMM-EQ,Ok,02-08-2023 09:15:00,1690947900,1752.0,1769.75,1729.55,1766.0,1754.02,131936,0,131936,0,14.0,0.7990867579908676
