token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
30125,INDIABULLS HSG FIN LTD,IBULHSGFIN,IBULHSGFIN-EQ,Ok,31-07-2023 09:15:00,1690775100,138.15,143.9,137.6,143.5,141.4,9280712,0,9280712,0,5.349999999999994,3.8726022439377443
3518,TORRENT PHARMACEUTICALS L,TORNTPHARM,TORNTPHARM-EQ,Ok,31-07-2023 09:15:00,1690775100,1948.4,2014.8,1930.7,2006.0,1971.9,81157,0,81157,0,57.59999999999991,2.956271812769447
14418,ASTRAL LIMITED,ASTRAL,ASTRAL-EQ,Ok,31-07-2023 09:15:00,1690775100,1886.8,1931.5,1886.8,1927.9,1913.8,62264,0,62264,0,41.100000000000136,2.17829128683486
341,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,BALRAMCHIN-EQ,Ok,31-07-2023 09:15:00,1690775100,396.1,404.0,396.1,403.85,400.95,235880,0,235880,0,7.75,1.956576622065135
739,COROMANDEL INTERNTL. LTD,COROMANDEL,COROMANDEL-EQ,Ok,31-07-2023 09:15:00,1690775100,984.75,1005.0,981.45,1003.0,996.08,61280,0,61280,0,18.25,1.8532622493018533
3150,SIEMENS LTD,SIEMENS,SIEMENS-EQ,Ok,31-07-2023 09:15:00,1690775100,3928.0,4068.75,3925.15,3999.0,4017.0,372979,0,372979,0,71.0,1.8075356415478614
7406,GLENMARK PHARMACEUTICALS,GLENMARK,GLENMARK-EQ,Ok,31-07-2023 09:15:00,1690775100,806.7,824.25,806.7,820.45,816.14,291758,0,291758,0,13.75,1.7044750216933184
9581,METROPOLIS HEALTHCARE LTD,METROPOLIS,METROPOLIS-EQ,Ok,31-07-2023 09:15:00,1690775100,1384.95,1412.95,1384.1,1407.2,1401.68,38549,0,38549,0,22.25,1.6065561933643815
11630,NTPC LTD,NTPC,NTPC-EQ,Ok,31-07-2023 09:15:00,1690775100,212.15,215.95,209.7,215.55,212.73,5782657,0,5782657,0,3.4000000000000057,1.602639641762906
13528,GMR AIRPORTS INFRA LTD,GMRINFRA,GMRINFRA-EQ,Ok,31-07-2023 09:15:00,1690775100,50.8,51.7,50.75,51.6,51.32,2409232,0,2409232,0,0.8000000000000043,1.574803149606308
