ord_number,ordtime,exchange,sym,tsym,token,instrument,lotsize,qty,avgprice,margin,totalprice,netprice,trantype,status
9976610,2023-08-04 12:15:00,NFO,CIPLA,CIPLA31AUG23C1210,106407,OPTSTK,650,2600,33.25,86450.0,86450.0,-86450.0,B,N
2560135,2023-08-04 12:15:00,NFO,NAUKRI,NAUKRI31AUG23C4800,136767,OPTSTK,150,450,200.85,90382.5,90382.5,-90382.5,B,N
4568868,2023-08-04 12:15:00,NFO,LICHSGFIN,LICHSGFIN31AUG23C430,133475,OPTSTK,2000,6000,15.5,93000.0,93000.0,-93000.0,B,N
4428099,2023-08-04 12:15:00,NFO,DIXON,DIXON31AUG23C4600,112874,OPTSTK,200,400,183.35,73340.0,73340.0,-73340.0,B,N
4037255,2023-08-04 12:15:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23P165,38455,OPTSTK,5100,10200,9.0,91800.0,91800.0,-91800.0,B,N
1374472,2023-08-04 12:15:00,NFO,ABCAPITAL,ABCAPITAL31AUG23P187.5,65756,OPTSTK,5400,10800,6.2,66960.0,66960.0,-66960.0,B,N
8519340,2023-08-04 12:15:00,NFO,MGL,MGL31AUG23P1070,135598,OPTSTK,800,2400,41.65,99960.0,99960.0,-99960.0,B,N
2870970,2023-08-04 12:15:00,NFO,METROPOLIS,METROPOLIS31AUG23P1360,135362,OPTSTK,400,2000,48.05,96100.0,96100.0,-96100.0,B,N
8099113,2023-08-04 12:15:00,NFO,HINDPETRO,HINDPETRO31AUG23P270,128468,OPTSTK,2700,10800,7.6,82080.0,82080.0,-82080.0,B,N
8613588,2023-08-04 12:16:00,NFO,CIPLA,CIPLA31AUG23C1210,106407,OPTSTK,650,2600,33.5,86450.0,87100.0,87100.0,S,N
2828910,2023-08-04 12:16:00,NFO,NAUKRI,NAUKRI31AUG23C4800,136767,OPTSTK,150,450,203.9,90382.5,91755.0,91755.0,S,N
5614541,2023-08-04 12:16:00,NFO,LICHSGFIN,LICHSGFIN31AUG23C430,133475,OPTSTK,2000,6000,16.2,93000.0,97200.0,97200.0,S,N
6152801,2023-08-04 12:16:00,NFO,DIXON,DIXON31AUG23C4600,112874,OPTSTK,200,400,181.6,73340.0,72640.0,72640.0,S,N
1780962,2023-08-04 12:34:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23P165,38455,OPTSTK,5100,10200,8.1,91800.0,82620.0,82620.0,S,N
4032490,2023-08-04 13:15:00,NFO,LICHSGFIN,LICHSGFIN31AUG23C430,133475,OPTSTK,2000,6000,15.75,94500.0,94500.0,-94500.0,B,N
3097599,2023-08-04 13:15:00,NFO,MGL,MGL31AUG23P1070,135598,OPTSTK,800,1600,43.1,68960.0,68960.0,-68960.0,B,N
1446790,2023-08-04 13:15:00,NFO,METROPOLIS,METROPOLIS31AUG23P1360,135362,OPTSTK,400,2000,45.0,90000.0,90000.0,-90000.0,B,N
6528634,2023-08-04 13:16:00,NFO,LICHSGFIN,LICHSGFIN31AUG23C430,133475,OPTSTK,2000,6000,16.1,94500.0,96600.00000000001,96600.00000000001,S,N
3661689,2023-08-04 14:15:00,NFO,LICHSGFIN,LICHSGFIN31AUG23C430,133475,OPTSTK,2000,6000,15.35,92100.0,92100.0,-92100.0,B,N
7885842,2023-08-04 14:15:00,NFO,MGL,MGL31AUG23P1060,135596,OPTSTK,800,2400,41.0,98400.0,98400.0,-98400.0,B,N
7131122,2023-08-04 14:15:00,NFO,METROPOLIS,METROPOLIS31AUG23P1360,135362,OPTSTK,400,1600,50.95,81520.0,81520.0,-81520.0,B,N
1202345,2023-08-04 14:16:00,NFO,LICHSGFIN,LICHSGFIN31AUG23C430,133475,OPTSTK,2000,6000,15.2,92100.0,91200.0,91200.0,S,N
7460973,2023-08-04 14:23:00,NFO,ABCAPITAL,ABCAPITAL31AUG23P187.5,65756,OPTSTK,5400,10800,6.4,66960.0,69120.0,69120.0,S,N
9331352,2023-08-04 15:15:00,NFO,NAUKRI,NAUKRI31AUG23C4900,136771,OPTSTK,150,300,225.1,67530.0,67530.0,-67530.0,B,N
