token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
694,CIPLA LTD,CIPLA,CIPLA-EQ,Ok,04-08-2023 09:15:00,1691120700,1172.1,1230.8,1172.1,1230.7,1218.9,1718538,0,1720844,0,58.600000000000136,4.999573415237619
13751,INFO EDGE (I) LTD,NAUKRI,NAUKRI-EQ,Ok,04-08-2023 09:15:00,1691120700,4544.0,4760.0,4544.0,4758.7,4705.71,97630,0,97687,0,214.69999999999982,4.724911971830982
1997,LIC HOUSING FINANCE LTD,LICHSGFIN,LICHSGFIN-EQ,Ok,04-08-2023 09:15:00,1691120700,397.75,417.4,397.75,416.3,410.42,3398191,0,3712624,0,18.55000000000001,4.663733500942806
772,DABUR INDIA LTD,DABUR,DABUR-EQ,Ok,04-08-2023 09:15:00,1691120700,568.7,593.55,565.55,585.45,584.42,2591438,0,2615386,0,16.75,2.9453138737471423
21690,DIXON TECHNO (INDIA) LTD,DIXON,DIXON-EQ,Ok,04-08-2023 09:15:00,1691120700,4478.05,4588.15,4478.05,4588.15,4547.84,332823,0,338636,0,110.09999999999945,2.458659461149372
2142,MAX FINANCIAL SERV LTD,MFSL,MFSL-EQ,Ok,04-08-2023 09:15:00,1691120700,771.2,793.95,771.2,789.45,787.66,58056,0,58109,0,18.25,2.3664419087136928
15141,COLGATE PALMOLIVE LTD.,COLPAL,COLPAL-EQ,Ok,04-08-2023 09:15:00,1691120700,2000.05,2051.0,2000.05,2046.4,2038.21,150694,0,151217,0,46.350000000000136,2.317442063948408
10440,LUPIN LIMITED,LUPIN,LUPIN-EQ,Ok,04-08-2023 09:15:00,1691120700,1027.15,1059.35,1011.85,1050.25,1041.29,1084077,0,1101148,0,23.09999999999991,2.248941245193001
19943,DEEPAK NITRITE LTD,DEEPAKNTR,DEEPAKNTR-EQ,Ok,04-08-2023 09:15:00,1691120700,1950.0,1996.25,1950.0,1986.2,1973.24,354480,0,365283,0,36.200000000000045,1.8564102564102587
9819,HAVELLS INDIA LIMITED,HAVELLS,HAVELLS-EQ,Ok,04-08-2023 09:15:00,1691120700,1299.4,1323.0,1298.9,1322.0,1314.59,28942,0,30984,0,22.59999999999991,1.739264275819602
