token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
163,APOLLO TYRES LTD,APOLLOTYRE,APOLLOTYRE-EQ,Ok,04-08-2023 09:15:00,1691120700,432.80,436.45,432.80,435.05,435.09,174135,0,178082,0
14418,ASTRAL LIMITED,ASTRAL,ASTRAL-EQ,Ok,04-08-2023 09:15:00,1691120700,2003.15,2033.05,2003.15,2025.00,2021.19,82200,0,82462,0
30108,ADITYA BIRLA FASHION & RT,ABFRL,ABFRL-EQ,Ok,04-08-2023 09:15:00,1691120700,222.10,224.75,221.70,223.00,223.46,409357,0,413322,0
11703,ALKEM LABORATORIES LTD.,ALKEM,ALKEM-EQ,Ok,04-08-2023 09:15:00,1691120700,4004.20,4059.95,4004.20,4044.00,4044.57,13451,0,13547,0
7,AARTI INDUSTRIES LTD,AARTIIND,AARTIIND-EQ,Ok,04-08-2023 09:15:00,1691120700,474.50,476.00,472.15,474.95,474.03,80590,0,81593,0
13,ABB INDIA LIMITED,ABB,ABB-EQ,Ok,04-08-2023 09:15:00,1691120700,4329.25,4390.00,4329.25,4382.15,4366.72,21619,0,24815,0
383,BHARAT ELECTRONICS LTD,BEL,BEL-EQ,Ok,04-08-2023 09:15:00,1691120700,126.20,126.75,125.55,126.20,126.14,1048549,0,1115945,0
21238,AU SMALL FINANCE BANK LTD,AUBANK,AUBANK-EQ,Ok,04-08-2023 09:15:00,1691120700,733.15,735.40,729.90,733.50,732.69,90427,0,95554,0
5900,AXIS BANK LIMITED,AXISBANK,AXISBANK-EQ,Ok,04-08-2023 09:15:00,1691120700,945.15,945.15,940.75,944.05,942.91,707214,0,750436,0
317,BAJAJ FINANCE LIMITED,BAJFINANCE,BAJFINANCE-EQ,Ok,04-08-2023 09:15:00,1691120700,7135.05,7199.00,7127.30,7149.75,7167.91,116380,0,117826,0
335,BALKRISHNA IND. LTD,BALKRISIND,BALKRISIND-EQ,Ok,04-08-2023 09:15:00,1691120700,2489.95,2498.80,2479.55,2486.30,2488.86,7813,0,8032,0
371,BATA INDIA LTD,BATAINDIA,BATAINDIA-EQ,Ok,04-08-2023 09:15:00,1691120700,1753.95,1758.00,1750.50,1754.00,1754.47,10954,0,11084,0
404,BERGER PAINTS (I) LTD,BERGEPAINT,BERGEPAINT-EQ,Ok,04-08-2023 09:15:00,1691120700,701.70,704.95,697.50,702.95,701.38,122188,0,128440,0
212,ASHOK LEYLAND LTD,ASHOKLEY,ASHOKLEY-EQ,Ok,04-08-2023 09:15:00,1691120700,181.70,182.00,181.35,181.65,181.84,457302,0,468392,0
17903,ABBOTT INDIA LIMITED,ABBOTINDIA,ABBOTINDIA-EQ,Ok,04-08-2023 09:15:00,1691120700,24649.80,24657.00,24493.05,24535.85,24546.17,605,0,627,0
21614,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,ABCAPITAL-EQ,Ok,04-08-2023 09:15:00,1691120700,193.90,194.50,191.40,191.40,193.33,445052,0,459948,0
11543,COFORGE LIMITED,COFORGE,COFORGE-EQ,Ok,04-08-2023 09:15:00,1691120700,4801.85,4838.85,4788.65,4835.80,4811.56,20517,0,20683,0
1901,CUMMINS INDIA LTD,CUMMINSIND,CUMMINSIND-EQ,Ok,04-08-2023 09:15:00,1691120700,1853.75,1881.00,1851.05,1871.15,1868.81,187001,0,204679,0
236,ASIAN PAINTS LIMITED,ASIANPAINT,ASIANPAINT-EQ,Ok,04-08-2023 09:15:00,1691120700,3338.30,3372.25,3338.30,3358.35,3362.63,90326,0,92147,0
25,ADANI ENTERPRISES LIMITED,ADANIENT,ADANIENT-EQ,Ok,04-08-2023 09:15:00,1691120700,2544.70,2557.50,2525.00,2541.80,2542.68,749343,0,755524,0
15083,ADANI PORT & SEZ LTD,ADANIPORTS,ADANIPORTS-EQ,Ok,04-08-2023 09:15:00,1691120700,775.55,779.80,774.20,777.00,776.53,360426,0,364631,0
16669,BAJAJ AUTO LIMITED,BAJAJ-AUTO,BAJAJ-AUTO-EQ,Ok,04-08-2023 09:15:00,1691120700,4849.85,4864.20,4804.70,4817.50,4828.19,31090,0,31675,0
10940,DIVI S LABORATORIES LTD,DIVISLAB,DIVISLAB-EQ,Ok,04-08-2023 09:15:00,1691120700,3729.00,3750.10,3725.55,3743.10,3737.98,21597,0,22135,0
1270,AMBUJA CEMENTS LTD,AMBUJACEM,AMBUJACEM-EQ,Ok,04-08-2023 09:15:00,1691120700,477.10,477.50,473.70,477.30,475.54,390244,0,405163,0
21690,DIXON TECHNO (INDIA) LTD,DIXON,DIXON-EQ,Ok,04-08-2023 09:15:00,1691120700,4478.05,4588.15,4478.05,4588.15,4547.84,332823,0,338636,0
157,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,APOLLOHOSP-EQ,Ok,04-08-2023 09:15:00,1691120700,5029.95,5036.45,4996.55,5002.00,5010.88,54627,0,55294,0
910,EICHER MOTORS LTD,EICHERMOT,EICHERMOT-EQ,Ok,04-08-2023 09:15:00,1691120700,3408.90,3478.85,3408.90,3429.35,3442.89,302370,0,314301,0
10099,GODREJ CONSUMER PRODUCTS,GODREJCP,GODREJCP-EQ,Ok,04-08-2023 09:15:00,1691120700,1016.65,1020.00,1014.70,1018.20,1018.58,17658,0,18336,0
1232,GRASIM INDUSTRIES LTD,GRASIM,GRASIM-EQ,Ok,04-08-2023 09:15:00,1691120700,1831.00,1845.95,1831.00,1831.95,1837.53,16620,0,16858,0
10599,GUJARAT GAS LIMITED,GUJGASLTD,GUJGASLTD-EQ,Ok,04-08-2023 09:15:00,1691120700,456.10,457.50,453.20,456.75,455.63,122183,0,123234,0
263,ATUL LTD,ATUL,ATUL-EQ,Ok,04-08-2023 09:15:00,1691120700,7089.70,7089.70,7025.40,7045.00,7052.88,3105,0,3192,0
7229,HCL TECHNOLOGIES LTD,HCLTECH,HCLTECH-EQ,Ok,04-08-2023 09:15:00,1691120700,1130.35,1139.45,1126.00,1139.45,1134.14,210850,0,214712,0
467,HDFC LIFE INS CO LTD,HDFCLIFE,HDFCLIFE-EQ,Ok,04-08-2023 09:15:00,1691120700,636.00,642.00,635.15,638.85,640.05,237192,0,239177,0
341,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,BALRAMCHIN-EQ,Ok,04-08-2023 09:15:00,1691120700,411.30,413.15,408.10,409.00,410.97,242448,0,244789,0
2263,BANDHAN BANK LIMITED,BANDHANBNK,BANDHANBNK-EQ,Ok,04-08-2023 09:15:00,1691120700,227.60,228.25,227.05,227.80,227.69,974136,0,982402,0
422,BHARAT FORGE LTD,BHARATFORG,BHARATFORG-EQ,Ok,04-08-2023 09:15:00,1691120700,909.75,917.70,908.50,912.60,913.65,34618,0,35166,0
11957,IDFC LIMITED,IDFC,IDFC-EQ,Ok,04-08-2023 09:15:00,1691120700,118.90,119.70,118.80,119.20,119.29,871922,0,900620,0
10604,BHARTI AIRTEL LIMITED,BHARTIARTL,BHARTIARTL-EQ,Ok,04-08-2023 09:15:00,1691120700,872.70,875.90,866.20,874.25,871.80,1041498,0,1062689,0
438,BHEL,BHEL,BHEL-EQ,Ok,04-08-2023 09:15:00,1691120700,101.45,101.90,101.05,101.20,101.49,1756551,0,1813785,0
2181,BOSCH LIMITED,BOSCHLTD,BOSCHLTD-EQ,Ok,04-08-2023 09:15:00,1691120700,18300.00,18390.00,18206.25,18222.85,19161.77,1978,0,2074,0
526,BHARAT PETROLEUM CORP  LT,BPCL,BPCL-EQ,Ok,04-08-2023 09:15:00,1691120700,368.10,370.80,366.65,367.00,368.59,197837,0,201214,0
547,BRITANNIA INDUSTRIES LTD,BRITANNIA,BRITANNIA-EQ,Ok,04-08-2023 09:15:00,1691120700,4793.00,4832.00,4785.00,4805.30,4814.91,33932,0,34434,0
6994,BIRLASOFT LIMITED,BSOFT,BSOFT-EQ,Ok,04-08-2023 09:15:00,1691120700,436.35,441.45,435.55,440.65,438.36,601263,0,609185,0
11184,IDFC FIRST BANK LIMITED,IDFCFIRSTB,IDFCFIRSTB-EQ,Ok,04-08-2023 09:15:00,1691120700,87.40,88.20,87.25,87.75,87.74,3371265,0,3443816,0
583,CAN FIN HOMES LTD,CANFINHOME,CANFINHOME-EQ,Ok,04-08-2023 09:15:00,1691120700,731.00,737.45,727.15,731.50,732.97,59539,0,60698,0
1512,THE INDIAN HOTELS CO. LTD,INDHOTEL,INDHOTEL-EQ,Ok,04-08-2023 09:15:00,1691120700,394.45,398.55,394.45,398.50,397.45,193600,0,198327,0
685,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,CHOLAFIN-EQ,Ok,04-08-2023 09:15:00,1691120700,1082.90,1086.40,1075.00,1078.00,1081.03,143176,0,145037,0
15141,COLGATE PALMOLIVE LTD.,COLPAL,COLPAL-EQ,Ok,04-08-2023 09:15:00,1691120700,2000.05,2051.00,2000.05,2046.40,2038.21,150694,0,151217,0
739,COROMANDEL INTERNTL. LTD,COROMANDEL,COROMANDEL-EQ,Ok,04-08-2023 09:15:00,1691120700,1038.00,1038.95,1030.80,1037.20,1034.07,16296,0,16501,0
17094,CROMPT GREA CON ELEC LTD,CROMPTON,CROMPTON-EQ,Ok,04-08-2023 09:15:00,1691120700,295.10,295.50,293.25,293.95,294.30,71048,0,71989,0
772,DABUR INDIA LTD,DABUR,DABUR-EQ,Ok,04-08-2023 09:15:00,1691120700,568.70,593.55,565.55,585.45,584.42,2591438,0,2615386,0
8075,DALMIA BHARAT LIMITED,DALBHARAT,DALBHARAT-EQ,Ok,04-08-2023 09:15:00,1691120700,1979.05,1989.95,1972.85,1978.00,1978.68,4993,0,5027,0
11195,INTERGLOBE AVIATION LTD,INDIGO,INDIGO-EQ,Ok,04-08-2023 09:15:00,1691120700,2468.00,2472.00,2451.00,2459.40,2461.35,135733,0,137992,0
19943,DEEPAK NITRITE LTD,DEEPAKNTR,DEEPAKNTR-EQ,Ok,04-08-2023 09:15:00,1691120700,1950.00,1996.25,1950.00,1986.20,1973.24,354480,0,365283,0
15044,DELTA CORP LIMITED,DELTACORP,DELTACORP-EQ,Ok,04-08-2023 09:15:00,1691120700,189.55,190.45,187.80,189.25,189.11,782233,0,791244,0
4668,BANK OF BARODA,BANKBARODA,BANKBARODA-EQ,Ok,04-08-2023 09:15:00,1691120700,194.60,194.60,192.75,193.80,193.41,1865445,0,1886214,0
14732,DLF LIMITED,DLF,DLF-EQ,Ok,04-08-2023 09:15:00,1691120700,491.75,492.35,489.40,491.60,490.71,227766,0,231323,0
1594,INFOSYS LIMITED,INFY,INFY-EQ,Ok,04-08-2023 09:15:00,1691120700,1367.00,1376.20,1364.00,1374.75,1371.49,416475,0,431557,0
881,DR. REDDY S LABORATORIES,DRREDDY,DRREDDY-EQ,Ok,04-08-2023 09:15:00,1691120700,5662.00,5709.45,5662.00,5680.00,5688.79,30007,0,30479,0
958,ESCORTS KUBOTA LIMITED,ESCORTS,ESCORTS-EQ,Ok,04-08-2023 09:15:00,1691120700,2559.25,2580.65,2559.25,2574.70,2573.72,17476,0,17856,0
10999,MARUTI SUZUKI INDIA LTD.,MARUTI,MARUTI-EQ,Ok,04-08-2023 09:15:00,1691120700,9573.95,9599.90,9545.00,9555.00,9581.58,26580,0,27489,0
1023,FEDERAL BANK LTD,FEDERALBNK,FEDERALBNK-EQ,Ok,04-08-2023 09:15:00,1691120700,132.90,132.90,132.25,132.75,132.53,995900,0,1001904,0
10447,UNITED SPIRITS LIMITED,MCDOWELL-N,MCDOWELL-N-EQ,Ok,04-08-2023 09:15:00,1691120700,1004.00,1007.45,1003.05,1006.25,1005.79,24307,0,24725,0
4717,GAIL (INDIA) LTD,GAIL,GAIL-EQ,Ok,04-08-2023 09:15:00,1691120700,116.40,116.90,115.75,116.05,116.18,1215592,0,1227578,0
2142,MAX FINANCIAL SERV LTD,MFSL,MFSL-EQ,Ok,04-08-2023 09:15:00,1691120700,771.20,793.95,771.20,789.45,787.66,58056,0,58109,0
7406,GLENMARK PHARMACEUTICALS,GLENMARK,GLENMARK-EQ,Ok,04-08-2023 09:15:00,1691120700,795.45,798.90,793.05,796.35,796.21,60317,0,61276,0
13528,GMR AIRPORTS INFRA LTD,GMRINFRA,GMRINFRA-EQ,Ok,04-08-2023 09:15:00,1691120700,50.90,51.55,50.90,51.45,51.29,714806,0,744152,0
1174,GUJ NAR VAL FER & CHEM L,GNFC,GNFC-EQ,Ok,04-08-2023 09:15:00,1691120700,584.95,588.70,584.95,587.00,586.92,80517,0,81447,0
6364,NATIONAL ALUMINIUM CO LTD,NATIONALUM,NATIONALUM-EQ,Ok,04-08-2023 09:15:00,1691120700,94.75,95.50,94.75,95.35,95.15,1410016,0,1419660,0
2303,HINDUSTAN AERONAUTICS LTD,HAL,HAL-EQ,Ok,04-08-2023 09:15:00,1691120700,3784.95,3799.95,3772.00,3794.80,3786.37,58600,0,60547,0
9819,HAVELLS INDIA LIMITED,HAVELLS,HAVELLS-EQ,Ok,04-08-2023 09:15:00,1691120700,1299.40,1323.00,1298.90,1322.00,1314.59,28942,0,30984,0
1333,HDFC BANK LTD,HDFCBANK,HDFCBANK-EQ,Ok,04-08-2023 09:15:00,1691120700,1636.00,1637.90,1629.35,1636.85,1633.69,1019723,0,1130792,0
13751,INFO EDGE (I) LTD,NAUKRI,NAUKRI-EQ,Ok,04-08-2023 09:15:00,1691120700,4544.00,4760.00,4544.00,4758.70,4705.71,97630,0,97687,0
1348,HERO MOTOCORP LIMITED,HEROMOTOCO,HEROMOTOCO-EQ,Ok,04-08-2023 09:15:00,1691120700,2976.75,2984.95,2953.05,2955.80,2965.80,55095,0,56085,0
1363,HINDALCO  INDUSTRIES  LTD,HINDALCO,HINDALCO-EQ,Ok,04-08-2023 09:15:00,1691120700,462.70,466.00,461.10,465.20,463.40,1862353,0,1917362,0
17939,HINDUSTAN COPPER LTD,HINDCOPPER,HINDCOPPER-EQ,Ok,04-08-2023 09:15:00,1691120700,153.25,156.30,153.25,154.70,154.99,3285742,0,3373896,0
1406,HINDUSTAN PETROLEUM CORP,HINDPETRO,HINDPETRO-EQ,Ok,04-08-2023 09:15:00,1691120700,272.00,272.50,269.70,269.75,270.96,487275,0,499579,0
30125,INDIABULLS HSG FIN LTD,IBULHSGFIN,IBULHSGFIN-EQ,Ok,04-08-2023 09:15:00,1691120700,166.30,166.90,161.40,163.10,164.04,8812385,0,9033242,0
21770,ICICI LOMBARD GIC LIMITED,ICICIGI,ICICIGI-EQ,Ok,04-08-2023 09:15:00,1691120700,1353.10,1361.55,1349.00,1357.90,1357.21,32856,0,33474,0
18652,ICICI PRU LIFE INS CO LTD,ICICIPRULI,ICICIPRULI-EQ,Ok,04-08-2023 09:15:00,1691120700,571.00,580.65,571.00,579.20,577.29,133141,0,133650,0
220,INDIAN ENERGY EXC LTD,IEX,IEX-EQ,Ok,04-08-2023 09:15:00,1691120700,126.60,127.55,126.50,127.10,127.01,564496,0,572399,0
11262,INDRAPRASTHA GAS LTD,IGL,IGL-EQ,Ok,04-08-2023 09:15:00,1691120700,454.75,455.50,450.80,454.00,453.41,160552,0,163048,0
1515,THE INDIA CEMENTS LIMITED,INDIACEM,INDIACEM-EQ,Ok,04-08-2023 09:15:00,1691120700,217.70,219.55,217.50,218.00,218.35,201402,0,205765,0
10726,INDIAMART INTERMESH LTD,INDIAMART,INDIAMART-EQ,Ok,04-08-2023 09:15:00,1691120700,3035.15,3072.05,3030.80,3072.05,3053.37,19800,0,20124,0
29135,INDUS TOWERS LIMITED,INDUSTOWER,INDUSTOWER-EQ,Ok,04-08-2023 09:15:00,1691120700,171.45,172.15,171.10,171.85,171.73,218405,0,222290,0
1624,INDIAN OIL CORP LTD,IOC,IOC-EQ,Ok,04-08-2023 09:15:00,1691120700,93.70,93.90,93.50,93.60,93.67,867253,0,887241,0
1633,IPCA LABORATORIES LTD,IPCALAB,IPCALAB-EQ,Ok,04-08-2023 09:15:00,1691120700,898.75,903.80,895.25,901.50,900.52,31666,0,32767,0
13611,INDIAN RAIL TOUR CORP LTD,IRCTC,IRCTC-EQ,Ok,04-08-2023 09:15:00,1691120700,665.50,667.00,661.50,662.70,663.65,391991,0,409648,0
10738,ORACLE FIN SERV SOFT LTD.,OFSS,OFSS-EQ,Ok,04-08-2023 09:15:00,1691120700,3828.00,3886.75,3823.15,3885.00,3873.85,3597,0,3614,0
14413,PAGE INDUSTRIES LTD,PAGEIND,PAGEIND-EQ,Ok,04-08-2023 09:15:00,1691120700,38800.05,39071.45,38800.05,38876.35,38932.74,1148,0,1176,0
13270,JK CEMENT LIMITED,JKCEMENT,JKCEMENT-EQ,Ok,04-08-2023 09:15:00,1691120700,3200.00,3216.00,3193.00,3206.25,3204.93,3161,0,3164,0
18365,PERSISTENT SYSTEMS LTD,PERSISTENT,PERSISTENT-EQ,Ok,04-08-2023 09:15:00,1691120700,4721.00,4763.65,4712.35,4760.30,4740.01,24791,0,25027,0
24184,PI INDUSTRIES LTD,PIIND,PIIND-EQ,Ok,04-08-2023 09:15:00,1691120700,3690.00,3713.90,3683.10,3695.25,3696.93,11713,0,11854,0
1922,KOTAK MAHINDRA BANK LTD,KOTAKBANK,KOTAKBANK-EQ,Ok,04-08-2023 09:15:00,1691120700,1826.15,1830.00,1821.45,1825.10,1824.90,249586,0,251949,0
17971,SBI CARDS & PAY SER LTD,SBICARD,SBICARD-EQ,Ok,04-08-2023 09:15:00,1691120700,869.65,875.00,866.90,873.85,871.49,59848,0,60446,0
21808,SBI LIFE INSURANCE CO LTD,SBILIFE,SBILIFE-EQ,Ok,04-08-2023 09:15:00,1691120700,1260.30,1287.00,1260.30,1273.15,1278.21,97184,0,97665,0
24948,L&T FINANCE HOLDINGS LTD,L&TFH,L&TFH-EQ,Ok,04-08-2023 09:15:00,1691120700,127.05,127.75,126.60,127.30,127.26,788097,0,805190,0
11654,DR. LAL PATH LABS LTD.,LALPATHLAB,LALPATHLAB-EQ,Ok,04-08-2023 09:15:00,1691120700,2326.00,2344.70,2322.10,2334.85,2334.60,8521,0,8587,0
19234,LAURUS LABS LIMITED,LAURUSLABS,LAURUSLABS-EQ,Ok,04-08-2023 09:15:00,1691120700,389.70,390.50,386.05,387.35,388.28,952626,0,985085,0
1997,LIC HOUSING FINANCE LTD,LICHSGFIN,LICHSGFIN-EQ,Ok,04-08-2023 09:15:00,1691120700,397.75,417.40,397.75,416.30,410.42,3398191,0,3712624,0
11483,LARSEN & TOUBRO LTD.,LT,LT-EQ,Ok,04-08-2023 09:15:00,1691120700,2606.00,2627.20,2606.00,2608.00,2616.34,104959,0,111477,0
17818,LTIMINDTREE LIMITED,LTIM,LTIM-EQ,Ok,04-08-2023 09:15:00,1691120700,4887.00,4940.00,4884.95,4930.90,4920.30,31636,0,32173,0
18564,L&T TECHNOLOGY SER. LTD.,LTTS,LTTS-EQ,Ok,04-08-2023 09:15:00,1691120700,4233.90,4257.00,4225.00,4236.10,4238.53,35721,0,36316,0
275,AUROBINDO PHARMA LTD,AUROPHARMA,AUROPHARMA-EQ,Ok,04-08-2023 09:15:00,1691120700,843.40,848.80,836.90,843.60,844.34,229341,0,235017,0
10440,LUPIN LIMITED,LUPIN,LUPIN-EQ,Ok,04-08-2023 09:15:00,1691120700,1027.15,1059.35,1011.85,1050.25,1041.29,1084077,0,1101148,0
2031,MAHINDRA & MAHINDRA LTD,M&M,M&M-EQ,Ok,04-08-2023 09:15:00,1691120700,1482.90,1486.85,1476.00,1478.60,1480.90,194268,0,201029,0
13285,M&M FIN. SERVICES LTD,M&MFIN,M&MFIN-EQ,Ok,04-08-2023 09:15:00,1691120700,286.50,290.90,286.50,289.00,288.88,317453,0,321975,0
4067,MARICO LIMITED,MARICO,MARICO-EQ,Ok,04-08-2023 09:15:00,1691120700,575.20,581.00,573.55,579.90,578.57,268561,0,271689,0
9581,METROPOLIS HEALTHCARE LTD,METROPOLIS,METROPOLIS-EQ,Ok,04-08-2023 09:15:00,1691120700,1412.05,1424.55,1391.00,1396.90,1404.28,51773,0,53565,0
16675,BAJAJ FINSERV LTD.,BAJAJFINSV,BAJAJFINSV-EQ,Ok,04-08-2023 09:15:00,1691120700,1502.20,1506.85,1493.70,1497.85,1501.01,203655,0,204478,0
694,CIPLA LTD,CIPLA,CIPLA-EQ,Ok,04-08-2023 09:15:00,1691120700,1172.10,1230.80,1172.10,1230.70,1218.90,1718538,0,1720844,0
2277,MRF LTD,MRF,MRF-EQ,Ok,04-08-2023 09:15:00,1691120700,108468.95,108699.95,106775.35,107889.45,107840.34,3094,0,3186,0
676,EXIDE INDUSTRIES LTD,EXIDEIND,EXIDEIND-EQ,Ok,04-08-2023 09:15:00,1691120700,257.65,260.40,256.75,257.80,258.92,361433,0,366129,0
23650,MUTHOOT FINANCE LIMITED,MUTHOOTFIN,MUTHOOTFIN-EQ,Ok,04-08-2023 09:15:00,1691120700,1350.10,1350.15,1344.00,1346.00,1346.82,16430,0,18960,0
14672,NAVIN FLUORINE INT. LTD,NAVINFLUOR,NAVINFLUOR-EQ,Ok,04-08-2023 09:15:00,1691120700,4527.25,4527.25,4491.25,4497.35,4506.14,10721,0,10742,0
11536,TATA CONSULTANCY SERV LT,TCS,TCS-EQ,Ok,04-08-2023 09:15:00,1691120700,3407.85,3433.00,3403.10,3429.35,3420.57,200949,0,210001,0
13538,TECH MAHINDRA LIMITED,TECHM,TECHM-EQ,Ok,04-08-2023 09:15:00,1691120700,1149.05,1158.00,1145.20,1158.00,1152.92,182239,0,187900,0
1964,TRENT LTD,TRENT,TRENT-EQ,Ok,04-08-2023 09:15:00,1691120700,1699.05,1716.90,1691.35,1714.35,1705.74,33522,0,33735,0
8479,TVS MOTOR COMPANY  LTD,TVSMOTOR,TVSMOTOR-EQ,Ok,04-08-2023 09:15:00,1691120700,1373.90,1384.00,1368.00,1370.00,1376.67,73281,0,74098,0
11373,BIOCON LIMITED.,BIOCON,BIOCON-EQ,Ok,04-08-2023 09:15:00,1691120700,255.75,258.10,255.70,257.20,257.07,205190,0,206755,0
17963,NESTLE INDIA LIMITED,NESTLEIND,NESTLEIND-EQ,Ok,04-08-2023 09:15:00,1691120700,22525.00,22650.00,22499.10,22617.90,22592.65,3095,0,3194,0
3787,WIPRO LTD,WIPRO,WIPRO-EQ,Ok,04-08-2023 09:15:00,1691120700,400.75,405.45,400.65,404.95,403.70,377086,0,384214,0
11630,NTPC LTD,NTPC,NTPC-EQ,Ok,04-08-2023 09:15:00,1691120700,222.20,222.20,220.20,220.45,221.08,844402,0,871667,0
20242,OBEROI REALTY LIMITED,OBEROIRLTY,OBEROIRLTY-EQ,Ok,04-08-2023 09:15:00,1691120700,1106.10,1113.20,1102.30,1107.45,1107.18,36637,0,37468,0
2475,OIL AND NATURAL GAS CORP.,ONGC,ONGC-EQ,Ok,04-08-2023 09:15:00,1691120700,173.45,174.15,172.80,173.20,173.59,411512,0,421947,0
5701,CITY UNION BANK LTD,CUB,CUB-EQ,Ok,04-08-2023 09:15:00,1691120700,131.60,132.60,131.40,132.25,132.21,143413,0,148254,0
637,CHAMBAL FERTILIZERS LTD,CHAMBLFERT,CHAMBLFERT-EQ,Ok,04-08-2023 09:15:00,1691120700,269.55,273.20,269.20,272.25,271.26,256647,0,258799,0
11351,PETRONET LNG LIMITED,PETRONET,PETRONET-EQ,Ok,04-08-2023 09:15:00,1691120700,225.70,226.15,224.80,225.50,225.30,48718,0,49405,0
2664,PIDILITE INDUSTRIES LTD,PIDILITIND,PIDILITIND-EQ,Ok,04-08-2023 09:15:00,1691120700,2594.90,2608.75,2585.15,2608.05,2597.01,17722,0,18086,0
10666,PUNJAB NATIONAL BANK,PNB,PNB-EQ,Ok,04-08-2023 09:15:00,1691120700,59.80,59.90,59.55,59.80,59.75,3526766,0,3627989,0
11872,GRANULES INDIA LIMITED,GRANULES,GRANULES-EQ,Ok,04-08-2023 09:15:00,1691120700,320.95,325.40,320.55,324.00,323.70,324861,0,331420,0
14977,POWER GRID CORP. LTD.,POWERGRID,POWERGRID-EQ,Ok,04-08-2023 09:15:00,1691120700,248.70,248.90,246.90,247.15,247.59,1167044,0,1207063,0
2043,THE RAMCO CEMENTS LIMITED,RAMCOCEM,RAMCOCEM-EQ,Ok,04-08-2023 09:15:00,1691120700,869.90,872.85,867.05,868.00,870.47,22159,0,22565,0
18391,RBL BANK LIMITED,RBLBANK,RBLBANK-EQ,Ok,04-08-2023 09:15:00,1691120700,216.85,217.90,211.15,215.20,215.28,3410553,0,3503935,0
4244,HDFC AMC LIMITED,HDFCAMC,HDFCAMC-EQ,Ok,04-08-2023 09:15:00,1691120700,2410.30,2437.95,2394.00,2417.25,2418.46,75192,0,75527,0
15355,REC LIMITED,RECLTD,RECLTD-EQ,Ok,04-08-2023 09:15:00,1691120700,200.20,202.25,199.95,200.15,201.24,1264539,0,1283858,0
2885,RELIANCE INDUSTRIES LTD,RELIANCE,RELIANCE-EQ,Ok,04-08-2023 09:15:00,1691120700,2494.95,2494.95,2476.10,2481.30,2485.31,466469,0,594765,0
