token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
15044,DELTA CORP LIMITED,DELTACORP,DELTACORP-EQ,Ok,28-07-2023 09:15:00,1690515900,197.4,204.4,197.4,203.4,202.06,4301549,0,4329748,0,6.0,3.0395136778115504
18391,RBL BANK LIMITED,RBLBANK,RBLBANK-EQ,Ok,28-07-2023 09:15:00,1690515900,234.1,239.9,234.05,239.9,237.62,6120261,0,6166207,0,5.800000000000011,2.477573686458783
220,INDIAN ENERGY EXC LTD,IEX,IEX-EQ,Ok,28-07-2023 09:15:00,1690515900,120.25,122.95,120.0,122.8,121.52,2514569,0,2610722,0,2.549999999999997,2.1205821205821183
13404,SUN TV NETWORK LIMITED,SUNTV,SUNTV-EQ,Ok,28-07-2023 09:15:00,1690515900,535.65,549.9,534.7,546.9,543.86,802646,0,812025,0,11.25,2.1002520302436296
6994,BIRLASOFT LIMITED,BSOFT,BSOFT-EQ,Ok,28-07-2023 09:15:00,1690515900,405.25,413.0,400.3,412.7,406.17,1044917,0,1064948,0,7.449999999999989,1.8383713756940132
958,ESCORTS KUBOTA LIMITED,ESCORTS,ESCORTS-EQ,Ok,28-07-2023 09:15:00,1690515900,2462.2,2509.35,2450.0,2505.3,2491.24,95924,0,96039,0,43.100000000000364,1.7504670619771086
1512,THE INDIAN HOTELS CO. LTD,INDHOTEL,INDHOTEL-EQ,Ok,28-07-2023 09:15:00,1690515900,381.65,388.35,378.7,388.3,383.11,1997218,0,2097618,0,6.650000000000034,1.7424341674309012
15141,COLGATE PALMOLIVE LTD.,COLPAL,COLPAL-EQ,Ok,28-07-2023 09:15:00,1690515900,2010.05,2062.1,1992.5,2042.4,2034.79,436242,0,438013,0,32.350000000000136,1.6094127011765946
10726,INDIAMART INTERMESH LTD,INDIAMART,INDIAMART-EQ,Ok,28-07-2023 09:15:00,1690515900,3017.0,3069.95,3007.1,3063.95,3050.54,55828,0,56463,0,46.94999999999982,1.5561816373881279
19234,LAURUS LABS LIMITED,LAURUSLABS,LAURUSLABS-EQ,Ok,28-07-2023 09:15:00,1690515900,339.8,348.8,336.95,345.0,343.25,2852341,0,2911679,0,5.199999999999989,1.530311948204823
