UNDERLYING,SYMBOL,tsym,token
INTELLECT DESIGN ARENA,INTELLECT,INTELLECT-EQ,5926
INDIAN OIL CORP LTD,IOC,IOC-EQ,1624
IPCA LABORATORIES LTD,IPCALAB,IPCALAB-EQ,1633
INDIAN RAIL TOUR CORP LTD,IRCTC,IRCTC-EQ,13611
ORACLE FIN SERV SOFT LTD.,OFSS,OFSS-EQ,10738
PAGE INDUSTRIES LTD,PAGEIND,PAGEIND-EQ,14413
JK CEMENT LIMITED,JKCEMENT,JKCEMENT-EQ,13270
PERSISTENT SYSTEMS LTD,PERSISTENT,PERSISTENT-EQ,18365
PI INDUSTRIES LTD,PIIND,PIIND-EQ,24184
KOTAK MAHINDRA BANK LTD,KOTAKBANK,KOTAKBANK-EQ,1922
SBI CARDS & PAY SER LTD,SBICARD,SBICARD-EQ,17971
SBI LIFE INSURANCE CO LTD,SBILIFE,SBILIFE-EQ,21808
L&T FINANCE HOLDINGS LTD,L&TFH,L&TFH-EQ,24948
DR. LAL PATH LABS LTD.,LALPATHLAB,LALPATHLAB-EQ,11654
LAURUS LABS LIMITED,LAURUSLABS,LAURUSLABS-EQ,19234
LIC HOUSING FINANCE LTD,LICHSGFIN,LICHSGFIN-EQ,1997
LARSEN & TOUBRO LTD.,LT,LT-EQ,11483
LTIMINDTREE LIMITED,LTIM,LTIM-EQ,17818
L&T TECHNOLOGY SER. LTD.,LTTS,LTTS-EQ,18564
AUROBINDO PHARMA LTD,AUROPHARMA,AUROPHARMA-EQ,275
LUPIN LIMITED,LUPIN,LUPIN-EQ,10440
MAHINDRA & MAHINDRA LTD,M&M,M&M-EQ,2031
M&M FIN. SERVICES LTD,M&MFIN,M&MFIN-EQ,13285
MARICO LIMITED,MARICO,MARICO-EQ,4067
METROPOLIS HEALTHCARE LTD,METROPOLIS,METROPOLIS-EQ,9581
BAJAJ FINSERV LTD.,BAJAJFINSV,BAJAJFINSV-EQ,16675
CIPLA LTD,CIPLA,CIPLA-EQ,694
MRF LTD,MRF,MRF-EQ,2277
EXIDE INDUSTRIES LTD,EXIDEIND,EXIDEIND-EQ,676
