,Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,Unnamed: 10
27897,NFO,144563,250,RELIANCE,RELIANCE27JUL23C2680,27-JUL-2023,OPTSTK,CE,2680.0,0.05,
27898,NFO,144562,250,RELIANCE,RELIANCE27JUL23P2660,27-JUL-2023,OPTSTK,PE,2660.0,0.05,
27899,NFO,144561,250,RELIANCE,RELIANCE27JUL23C2660,27-JUL-2023,OPTSTK,CE,2660.0,0.05,
27900,NFO,144560,250,RELIANCE,RELIANCE27JUL23P2640,27-JUL-2023,OPTSTK,PE,2640.0,0.05,
27901,NFO,144559,250,RELIANCE,RELIANCE27JUL23C2640,27-JUL-2023,OPTSTK,CE,2640.0,0.05,
27902,NFO,144558,250,RELIANCE,RELIANCE27JUL23P2620,27-JUL-2023,OPTSTK,PE,2620.0,0.05,
27903,NFO,144557,250,RELIANCE,RELIANCE27JUL23C2620,27-JUL-2023,OPTSTK,CE,2620.0,0.05,
27904,NFO,144556,250,RELIANCE,RELIANCE27JUL23P2600,27-JUL-2023,OPTSTK,PE,2600.0,0.05,
28051,NFO,144409,250,RELIANCE,RELIANCE27JUL23C2600,27-JUL-2023,OPTSTK,CE,2600.0,0.05,
28052,NFO,144408,250,RELIANCE,RELIANCE27JUL23P2580,27-JUL-2023,OPTSTK,PE,2580.0,0.05,
28053,NFO,144407,250,RELIANCE,RELIANCE27JUL23C2580,27-JUL-2023,OPTSTK,CE,2580.0,0.05,
28054,NFO,144406,250,RELIANCE,RELIANCE27JUL23P2560,27-JUL-2023,OPTSTK,PE,2560.0,0.05,
28055,NFO,144405,250,RELIANCE,RELIANCE27JUL23C2560,27-JUL-2023,OPTSTK,CE,2560.0,0.05,
28056,NFO,144404,250,RELIANCE,RELIANCE27JUL23P2540,27-JUL-2023,OPTSTK,PE,2540.0,0.05,
28057,NFO,144403,250,RELIANCE,RELIANCE27JUL23C2540,27-JUL-2023,OPTSTK,CE,2540.0,0.05,
28058,NFO,144402,250,RELIANCE,RELIANCE27JUL23P2520,27-JUL-2023,OPTSTK,PE,2520.0,0.05,
28059,NFO,144401,250,RELIANCE,RELIANCE27JUL23C2520,27-JUL-2023,OPTSTK,CE,2520.0,0.05,
28060,NFO,144400,250,RELIANCE,RELIANCE27JUL23P2500,27-JUL-2023,OPTSTK,PE,2500.0,0.05,
28061,NFO,144399,250,RELIANCE,RELIANCE27JUL23C2500,27-JUL-2023,OPTSTK,CE,2500.0,0.05,
28062,NFO,144398,250,RELIANCE,RELIANCE27JUL23P2480,27-JUL-2023,OPTSTK,PE,2480.0,0.05,
28063,NFO,144397,250,RELIANCE,RELIANCE27JUL23C2480,27-JUL-2023,OPTSTK,CE,2480.0,0.05,
28064,NFO,144396,250,RELIANCE,RELIANCE27JUL23P2460,27-JUL-2023,OPTSTK,PE,2460.0,0.05,
28065,NFO,144395,250,RELIANCE,RELIANCE27JUL23C2460,27-JUL-2023,OPTSTK,CE,2460.0,0.05,
28066,NFO,144394,250,RELIANCE,RELIANCE27JUL23P2440,27-JUL-2023,OPTSTK,PE,2440.0,0.05,
28067,NFO,144393,250,RELIANCE,RELIANCE27JUL23C2440,27-JUL-2023,OPTSTK,CE,2440.0,0.05,
28068,NFO,144392,250,RELIANCE,RELIANCE27JUL23P2420,27-JUL-2023,OPTSTK,PE,2420.0,0.05,
28069,NFO,144391,250,RELIANCE,RELIANCE27JUL23C2420,27-JUL-2023,OPTSTK,CE,2420.0,0.05,
28070,NFO,144390,250,RELIANCE,RELIANCE27JUL23P2400,27-JUL-2023,OPTSTK,PE,2400.0,0.05,
28071,NFO,144389,250,RELIANCE,RELIANCE27JUL23C2400,27-JUL-2023,OPTSTK,CE,2400.0,0.05,
28072,NFO,144388,250,RELIANCE,RELIANCE27JUL23P2380,27-JUL-2023,OPTSTK,PE,2380.0,0.05,
28073,NFO,144387,250,RELIANCE,RELIANCE27JUL23C2380,27-JUL-2023,OPTSTK,CE,2380.0,0.05,
28074,NFO,144386,250,RELIANCE,RELIANCE27JUL23P2360,27-JUL-2023,OPTSTK,PE,2360.0,0.05,
28075,NFO,144385,250,RELIANCE,RELIANCE27JUL23C2360,27-JUL-2023,OPTSTK,CE,2360.0,0.05,
28076,NFO,144384,250,RELIANCE,RELIANCE27JUL23P2340,27-JUL-2023,OPTSTK,PE,2340.0,0.05,
28077,NFO,144383,250,RELIANCE,RELIANCE27JUL23C2340,27-JUL-2023,OPTSTK,CE,2340.0,0.05,
28078,NFO,144382,250,RELIANCE,RELIANCE27JUL23P2320,27-JUL-2023,OPTSTK,PE,2320.0,0.05,
28079,NFO,144381,250,RELIANCE,RELIANCE27JUL23C2320,27-JUL-2023,OPTSTK,CE,2320.0,0.05,
28080,NFO,144380,250,RELIANCE,RELIANCE27JUL23P2300,27-JUL-2023,OPTSTK,PE,2300.0,0.05,
28081,NFO,144379,250,RELIANCE,RELIANCE27JUL23C2300,27-JUL-2023,OPTSTK,CE,2300.0,0.05,
28082,NFO,144378,250,RELIANCE,RELIANCE27JUL23P2280,27-JUL-2023,OPTSTK,PE,2280.0,0.05,
28083,NFO,144377,250,RELIANCE,RELIANCE27JUL23C2280,27-JUL-2023,OPTSTK,CE,2280.0,0.05,
28084,NFO,144376,250,RELIANCE,RELIANCE27JUL23P2260,27-JUL-2023,OPTSTK,PE,2260.0,0.05,
28085,NFO,144375,250,RELIANCE,RELIANCE27JUL23C2260,27-JUL-2023,OPTSTK,CE,2260.0,0.05,
28086,NFO,144374,250,RELIANCE,RELIANCE27JUL23P2240,27-JUL-2023,OPTSTK,PE,2240.0,0.05,
28087,NFO,144373,250,RELIANCE,RELIANCE27JUL23C2240,27-JUL-2023,OPTSTK,CE,2240.0,0.05,
28088,NFO,144372,250,RELIANCE,RELIANCE27JUL23P2220,27-JUL-2023,OPTSTK,PE,2220.0,0.05,
28089,NFO,144371,250,RELIANCE,RELIANCE27JUL23C2220,27-JUL-2023,OPTSTK,CE,2220.0,0.05,
28090,NFO,144370,250,RELIANCE,RELIANCE27JUL23P2200,27-JUL-2023,OPTSTK,PE,2200.0,0.05,
28091,NFO,144369,250,RELIANCE,RELIANCE27JUL23C2200,27-JUL-2023,OPTSTK,CE,2200.0,0.05,
28092,NFO,144368,250,RELIANCE,RELIANCE27JUL23P2180,27-JUL-2023,OPTSTK,PE,2180.0,0.05,
28093,NFO,144367,250,RELIANCE,RELIANCE27JUL23C2180,27-JUL-2023,OPTSTK,CE,2180.0,0.05,
28094,NFO,144366,250,RELIANCE,RELIANCE27JUL23P2160,27-JUL-2023,OPTSTK,PE,2160.0,0.05,
28095,NFO,144365,250,RELIANCE,RELIANCE27JUL23C2160,27-JUL-2023,OPTSTK,CE,2160.0,0.05,
28096,NFO,144364,250,RELIANCE,RELIANCE27JUL23P2140,27-JUL-2023,OPTSTK,PE,2140.0,0.05,
28097,NFO,144363,250,RELIANCE,RELIANCE27JUL23C2140,27-JUL-2023,OPTSTK,CE,2140.0,0.05,
28098,NFO,144362,250,RELIANCE,RELIANCE27JUL23P2120,27-JUL-2023,OPTSTK,PE,2120.0,0.05,
28099,NFO,144361,250,RELIANCE,RELIANCE27JUL23C2120,27-JUL-2023,OPTSTK,CE,2120.0,0.05,
28100,NFO,144360,250,RELIANCE,RELIANCE27JUL23P2100,27-JUL-2023,OPTSTK,PE,2100.0,0.05,
28133,NFO,144327,250,RELIANCE,RELIANCE27JUL23C2100,27-JUL-2023,OPTSTK,CE,2100.0,0.05,
28134,NFO,144326,250,RELIANCE,RELIANCE27JUL23P2080,27-JUL-2023,OPTSTK,PE,2080.0,0.05,
28135,NFO,144325,250,RELIANCE,RELIANCE27JUL23C2080,27-JUL-2023,OPTSTK,CE,2080.0,0.05,
28136,NFO,144324,250,RELIANCE,RELIANCE27JUL23P2060,27-JUL-2023,OPTSTK,PE,2060.0,0.05,
28137,NFO,144323,250,RELIANCE,RELIANCE27JUL23C2060,27-JUL-2023,OPTSTK,CE,2060.0,0.05,
28138,NFO,144322,250,RELIANCE,RELIANCE27JUL23P2040,27-JUL-2023,OPTSTK,PE,2040.0,0.05,
28139,NFO,144321,250,RELIANCE,RELIANCE27JUL23C2040,27-JUL-2023,OPTSTK,CE,2040.0,0.05,
28140,NFO,144320,250,RELIANCE,RELIANCE27JUL23P2020,27-JUL-2023,OPTSTK,PE,2020.0,0.05,
28141,NFO,144319,250,RELIANCE,RELIANCE27JUL23C2020,27-JUL-2023,OPTSTK,CE,2020.0,0.05,
28142,NFO,144318,250,RELIANCE,RELIANCE27JUL23P2000,27-JUL-2023,OPTSTK,PE,2000.0,0.05,
28143,NFO,144317,250,RELIANCE,RELIANCE27JUL23C2000,27-JUL-2023,OPTSTK,CE,2000.0,0.05,
28144,NFO,144316,250,RELIANCE,RELIANCE27JUL23P1980,27-JUL-2023,OPTSTK,PE,1980.0,0.05,
28145,NFO,144315,250,RELIANCE,RELIANCE27JUL23C1980,27-JUL-2023,OPTSTK,CE,1980.0,0.05,
28146,NFO,144314,250,RELIANCE,RELIANCE27JUL23P1960,27-JUL-2023,OPTSTK,PE,1960.0,0.05,
28147,NFO,144313,250,RELIANCE,RELIANCE27JUL23C1960,27-JUL-2023,OPTSTK,CE,1960.0,0.05,
28148,NFO,144312,250,RELIANCE,RELIANCE27JUL23P1940,27-JUL-2023,OPTSTK,PE,1940.0,0.05,
28149,NFO,144311,250,RELIANCE,RELIANCE27JUL23C1940,27-JUL-2023,OPTSTK,CE,1940.0,0.05,
28150,NFO,144310,250,RELIANCE,RELIANCE27JUL23P1920,27-JUL-2023,OPTSTK,PE,1920.0,0.05,
28151,NFO,144309,250,RELIANCE,RELIANCE27JUL23C1920,27-JUL-2023,OPTSTK,CE,1920.0,0.05,
28152,NFO,144308,250,RELIANCE,RELIANCE27JUL23P1900,27-JUL-2023,OPTSTK,PE,1900.0,0.05,
28153,NFO,144307,250,RELIANCE,RELIANCE27JUL23C1900,27-JUL-2023,OPTSTK,CE,1900.0,0.05,
28154,NFO,144306,250,RELIANCE,RELIANCE27JUL23P1880,27-JUL-2023,OPTSTK,PE,1880.0,0.05,
28155,NFO,144305,250,RELIANCE,RELIANCE27JUL23C1880,27-JUL-2023,OPTSTK,CE,1880.0,0.05,
28156,NFO,144304,250,RELIANCE,RELIANCE27JUL23P1860,27-JUL-2023,OPTSTK,PE,1860.0,0.05,
28157,NFO,144303,250,RELIANCE,RELIANCE27JUL23C1860,27-JUL-2023,OPTSTK,CE,1860.0,0.05,
28158,NFO,144302,250,RELIANCE,RELIANCE27JUL23P1840,27-JUL-2023,OPTSTK,PE,1840.0,0.05,
28159,NFO,144301,250,RELIANCE,RELIANCE27JUL23C1840,27-JUL-2023,OPTSTK,CE,1840.0,0.05,
28160,NFO,144300,250,RELIANCE,RELIANCE27JUL23P1820,27-JUL-2023,OPTSTK,PE,1820.0,0.05,
28161,NFO,144299,250,RELIANCE,RELIANCE27JUL23C1820,27-JUL-2023,OPTSTK,CE,1820.0,0.05,
28162,NFO,144298,250,RELIANCE,RELIANCE27JUL23P1800,27-JUL-2023,OPTSTK,PE,1800.0,0.05,
28163,NFO,144297,250,RELIANCE,RELIANCE27JUL23C1800,27-JUL-2023,OPTSTK,CE,1800.0,0.05,
28164,NFO,144296,250,RELIANCE,RELIANCE27JUL23P1780,27-JUL-2023,OPTSTK,PE,1780.0,0.05,
28165,NFO,144295,250,RELIANCE,RELIANCE27JUL23C1780,27-JUL-2023,OPTSTK,CE,1780.0,0.05,
28166,NFO,144294,250,RELIANCE,RELIANCE27JUL23P1760,27-JUL-2023,OPTSTK,PE,1760.0,0.05,
28167,NFO,144293,250,RELIANCE,RELIANCE27JUL23C1760,27-JUL-2023,OPTSTK,CE,1760.0,0.05,
28168,NFO,144292,250,RELIANCE,RELIANCE27JUL23P1740,27-JUL-2023,OPTSTK,PE,1740.0,0.05,
28169,NFO,144291,250,RELIANCE,RELIANCE27JUL23C1740,27-JUL-2023,OPTSTK,CE,1740.0,0.05,
28170,NFO,144290,250,RELIANCE,RELIANCE27JUL23P1720,27-JUL-2023,OPTSTK,PE,1720.0,0.05,
28171,NFO,144289,250,RELIANCE,RELIANCE27JUL23C1720,27-JUL-2023,OPTSTK,CE,1720.0,0.05,
28172,NFO,144288,250,RELIANCE,RELIANCE27JUL23P1700,27-JUL-2023,OPTSTK,PE,1700.0,0.05,
28173,NFO,144287,250,RELIANCE,RELIANCE27JUL23C1700,27-JUL-2023,OPTSTK,CE,1700.0,0.05,
28174,NFO,144286,250,RELIANCE,RELIANCE27JUL23P1680,27-JUL-2023,OPTSTK,PE,1680.0,0.05,
28175,NFO,144285,250,RELIANCE,RELIANCE27JUL23C1680,27-JUL-2023,OPTSTK,CE,1680.0,0.05,
28176,NFO,144284,250,RELIANCE,RELIANCE27JUL23P1660,27-JUL-2023,OPTSTK,PE,1660.0,0.05,
28177,NFO,144283,250,RELIANCE,RELIANCE27JUL23C1660,27-JUL-2023,OPTSTK,CE,1660.0,0.05,
28178,NFO,144282,250,RELIANCE,RELIANCE27JUL23P1640,27-JUL-2023,OPTSTK,PE,1640.0,0.05,
28179,NFO,144281,250,RELIANCE,RELIANCE27JUL23C1640,27-JUL-2023,OPTSTK,CE,1640.0,0.05,
28180,NFO,144280,250,RELIANCE,RELIANCE27JUL23P1620,27-JUL-2023,OPTSTK,PE,1620.0,0.05,
28181,NFO,144279,250,RELIANCE,RELIANCE27JUL23C1620,27-JUL-2023,OPTSTK,CE,1620.0,0.05,
28182,NFO,144278,250,RELIANCE,RELIANCE27JUL23P1600,27-JUL-2023,OPTSTK,PE,1600.0,0.05,
