UNDERLYING,SYMBOL,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,BALRAMCHIN-EQ,341,Ok,25-07-2023 09:15:00,1690256700,653.95,659.00,650.00,656.70,656.40,257119,0,257119,0
BANDHAN BANK LIMITED,BANDHANBNK,BANDHANBNK-EQ,2263,Ok,25-07-2023 09:15:00,1690256700,219.55,219.55,218.10,218.80,218.85,711637,0,711637,0
BHARAT FORGE LTD,BHARATFORG,BHARATFORG-EQ,422,Ok,25-07-2023 09:15:00,1690256700,3325.00,3343.00,3325.00,3338.15,3331.25,49183,0,49183,0
IDFC LIMITED,IDFC,IDFC-EQ,11957,Ok,25-07-2023 09:15:00,1690256700,387.70,390.00,386.00,389.70,388.56,198582,0,198582,0
BHARTI AIRTEL LIMITED,BHARTIARTL,BHARTIARTL-EQ,10604,Ok,25-07-2023 09:15:00,1690256700,888.15,894.50,888.00,889.45,892.33,345032,0,345032,0
BHEL,BHEL,BHEL-EQ,438,Ok,25-07-2023 09:15:00,1690256700,5006.90,5006.95,4965.95,4971.25,4989.92,38224,0,38224,0
BOSCH LIMITED,BOSCHLTD,BOSCHLTD-EQ,2181,Ok,25-07-2023 09:15:00,1690256700,98.55,99.50,98.25,98.85,98.93,4971412,0,4971412,0
BHARAT PETROLEUM CORP  LT,BPCL,BPCL-EQ,526,Ok,25-07-2023 09:15:00,1690256700,1896.60,1896.60,1873.65,1876.70,1881.78,80781,0,80781,0
BRITANNIA INDUSTRIES LTD,BRITANNIA,BRITANNIA-EQ,547,Ok,25-07-2023 09:15:00,1690256700,84.00,84.30,83.60,84.15,83.95,3398440,0,3398440,0
BIRLASOFT LIMITED,BSOFT,BSOFT-EQ,6994,Ok,25-07-2023 09:15:00,1690256700,1147.00,1154.05,1143.05,1149.70,1148.72,101015,0,101015,0
IDFC FIRST BANK LIMITED,IDFCFIRSTB,IDFCFIRSTB-EQ,11184,Ok,25-07-2023 09:15:00,1690256700,114.05,114.50,113.65,114.15,114.05,738524,0,738524,0
CAN FIN HOMES LTD,CANFINHOME,CANFINHOME-EQ,583,Ok,25-07-2023 09:15:00,1690256700,904.90,904.90,891.75,892.50,898.93,372406,0,372406,0
THE INDIAN HOTELS CO. LTD,INDHOTEL,INDHOTEL-EQ,1512,Ok,25-07-2023 09:15:00,1690256700,383.70,385.20,381.00,384.45,383.46,212871,0,212871,0
CHOLAMANDALAM IN & FIN CO,CHOLAFIN,CHOLAFIN-EQ,685,Ok,25-07-2023 09:15:00,1690256700,392.35,396.35,391.35,394.20,394.14,425767,0,425767,0
COLGATE PALMOLIVE LTD.,COLPAL,COLPAL-EQ,15141,Ok,25-07-2023 09:15:00,1690256700,19200.00,19200.00,19050.00,19090.00,19120.75,1833,0,1833,0
COROMANDEL INTERNTL. LTD,COROMANDEL,COROMANDEL-EQ,739,Ok,25-07-2023 09:15:00,1690256700,568.50,568.95,566.25,566.40,567.24,60236,0,60236,0
CROMPT GREA CON ELEC LTD,CROMPTON,CROMPTON-EQ,17094,Ok,25-07-2023 09:15:00,1690256700,970.10,972.90,957.90,960.55,962.92,33451,0,33451,0
DABUR INDIA LTD,DABUR,DABUR-EQ,772,Ok,25-07-2023 09:15:00,1690256700,291.05,292.15,289.90,291.35,291.04,107407,0,107407,0
DALMIA BHARAT LIMITED,DALBHARAT,DALBHARAT-EQ,8075,Ok,25-07-2023 09:15:00,1690256700,2674.95,2674.95,2650.55,2652.00,2659.84,21313,0,21313,0
INTERGLOBE AVIATION LTD,INDIGO,INDIGO-EQ,11195,Ok,25-07-2023 09:15:00,1690256700,1914.95,1922.05,1899.60,1918.35,1911.56,20310,0,20310,0
DEEPAK NITRITE LTD,DEEPAKNTR,DEEPAKNTR-EQ,19943,Ok,25-07-2023 09:15:00,1690256700,1982.05,2013.00,1982.05,2000.00,2001.71,73318,0,73318,0
DELTA CORP LIMITED,DELTACORP,DELTACORP-EQ,15044,Ok,25-07-2023 09:15:00,1690256700,189.50,190.30,189.05,189.40,189.57,323212,0,323212,0
BANK OF BARODA,BANKBARODA,BANKBARODA-EQ,4668,Ok,25-07-2023 09:15:00,1690256700,496.85,498.90,495.00,496.00,496.89,239129,0,239129,0
DLF LIMITED,DLF,DLF-EQ,14732,Ok,25-07-2023 09:15:00,1690256700,134.50,134.75,133.90,134.35,134.24,546645,0,546645,0
INFOSYS LIMITED,INFY,INFY-EQ,1594,Ok,25-07-2023 09:15:00,1690256700,9620.00,9680.15,9617.05,9675.55,9648.96,38151,0,38151,0
DR. REDDY S LABORATORIES,DRREDDY,DRREDDY-EQ,881,Ok,25-07-2023 09:15:00,1690256700,199.75,199.75,198.35,198.60,199.13,1987321,0,1987321,0
ESCORTS KUBOTA LIMITED,ESCORTS,ESCORTS-EQ,958,Ok,25-07-2023 09:15:00,1690256700,5408.05,5457.90,5391.85,5425.15,5424.45,61567,0,61567,0
MARUTI SUZUKI INDIA LTD.,MARUTI,MARUTI-EQ,10999,Ok,25-07-2023 09:15:00,1690256700,1339.55,1339.55,1324.60,1329.30,1330.59,727858,0,727858,0
FEDERAL BANK LTD,FEDERALBNK,FEDERALBNK-EQ,1023,Ok,25-07-2023 09:15:00,1690256700,2371.00,2371.00,2361.15,2365.45,2365.82,8527,0,8527,0
UNITED SPIRITS LIMITED,MCDOWELL-N,MCDOWELL-N-EQ,10447,Ok,25-07-2023 09:15:00,1690256700,985.75,985.75,974.00,983.00,979.70,203471,0,203471,0
GAIL (INDIA) LTD,GAIL,GAIL-EQ,4717,Ok,25-07-2023 09:15:00,1690256700,112.65,113.25,112.30,113.00,112.80,913906,0,913906,0
MAX FINANCIAL SERV LTD,MFSL,MFSL-EQ,2142,Ok,25-07-2023 09:15:00,1690256700,806.00,810.90,802.15,806.15,805.12,56531,0,56531,0
GLENMARK PHARMACEUTICALS,GLENMARK,GLENMARK-EQ,7406,Ok,25-07-2023 09:15:00,1690256700,791.10,792.00,784.20,789.00,788.91,119310,0,119310,0
GMR AIRPORTS INFRA LTD,GMRINFRA,GMRINFRA-EQ,13528,Ok,25-07-2023 09:15:00,1690256700,591.00,594.00,591.00,593.40,592.55,40671,0,40671,0
GUJ NAR VAL FER & CHEM L,GNFC,GNFC-EQ,1174,Ok,25-07-2023 09:15:00,1690256700,47.05,47.20,46.75,46.80,46.97,3317671,0,3317671,0
NATIONAL ALUMINIUM CO LTD,NATIONALUM,NATIONALUM-EQ,6364,Ok,25-07-2023 09:15:00,1690256700,1295.00,1303.95,1292.35,1300.55,1300.01,48521,0,48521,0
HINDUSTAN AERONAUTICS LTD,HAL,HAL-EQ,2303,Ok,25-07-2023 09:15:00,1690256700,92.55,92.55,91.95,92.35,92.16,348614,0,348614,0
HAVELLS INDIA LIMITED,HAVELLS,HAVELLS-EQ,9819,Ok,25-07-2023 09:15:00,1690256700,3894.00,3905.00,3879.95,3880.05,3890.63,92494,0,92494,0
HDFC BANK LTD,HDFCBANK,HDFCBANK-EQ,1333,Ok,25-07-2023 09:15:00,1690256700,4579.20,4612.00,4575.80,4595.00,4598.24,10437,0,10437,0
INFO EDGE (I) LTD,NAUKRI,NAUKRI-EQ,13751,Ok,25-07-2023 09:15:00,1690256700,119.15,120.75,118.50,120.55,119.96,725467,0,725467,0
HERO MOTOCORP LIMITED,HEROMOTOCO,HEROMOTOCO-EQ,1348,Ok,25-07-2023 09:15:00,1690256700,1682.30,1688.15,1678.60,1687.05,1684.62,1458149,0,1458149,0
HINDALCO  INDUSTRIES  LTD,HINDALCO,HINDALCO-EQ,1363,Ok,25-07-2023 09:15:00,1690256700,298.65,303.00,297.80,302.50,300.35,320855,0,320855,0
HINDUSTAN COPPER LTD,HINDCOPPER,HINDCOPPER-EQ,17939,Ok,25-07-2023 09:15:00,1690256700,3178.95,3178.95,3145.15,3153.20,3164.29,114037,0,114037,0
HINDUSTAN PETROLEUM CORP,HINDPETRO,HINDPETRO-EQ,1406,Ok,25-07-2023 09:15:00,1690256700,435.00,438.25,435.00,437.70,436.78,491643,0,491643,0
INDIABULLS HSG FIN LTD,IBULHSGFIN,IBULHSGFIN-EQ,30125,Ok,25-07-2023 09:15:00,1690256700,122.20,122.20,121.05,121.50,121.57,528742,0,528742,0
ICICI LOMBARD GIC LIMITED,ICICIGI,ICICIGI-EQ,21770,Ok,25-07-2023 09:15:00,1690256700,1388.05,1401.00,1388.05,1396.50,1397.21,18447,0,18447,0
ICICI PRU LIFE INS CO LTD,ICICIPRULI,ICICIPRULI-EQ,18652,Ok,25-07-2023 09:15:00,1690256700,567.90,572.80,567.85,569.30,570.66,141888,0,141888,0
INDIAN ENERGY EXC LTD,IEX,IEX-EQ,220,Ok,25-07-2023 09:15:00,1690256700,123.90,124.00,123.00,123.70,123.43,478371,0,478371,0
INDRAPRASTHA GAS LTD,IGL,IGL-EQ,11262,Ok,25-07-2023 09:15:00,1690256700,472.00,476.35,471.35,476.20,474.04,206856,0,206856,0
THE INDIA CEMENTS LIMITED,INDIACEM,INDIACEM-EQ,1515,Ok,25-07-2023 09:15:00,1690256700,208.85,214.90,208.60,214.65,213.10,939933,0,939933,0
INDIAMART INTERMESH LTD,INDIAMART,INDIAMART-EQ,10726,Ok,25-07-2023 09:15:00,1690256700,792.10,795.95,790.85,792.45,793.69,6434,0,6434,0
INDUS TOWERS LIMITED,INDUSTOWER,INDUSTOWER-EQ,29135,Ok,25-07-2023 09:15:00,1690256700,3060.05,3080.00,3060.05,3069.40,3073.08,40113,0,40113,0
INTELLECT DESIGN ARENA,INTELLECT,INTELLECT-EQ,5926,Ok,25-07-2023 09:15:00,1690256700,170.85,174.20,170.85,172.55,172.90,1839539,0,1839539,0
INDIAN OIL CORP LTD,IOC,IOC-EQ,1624,Ok,25-07-2023 09:15:00,1690256700,99.85,100.25,99.65,99.95,100.01,1739188,0,1739188,0
IPCA LABORATORIES LTD,IPCALAB,IPCALAB-EQ,1633,Ok,25-07-2023 09:15:00,1690256700,630.15,634.70,626.15,629.50,629.52,22278,0,22278,0
INDIAN RAIL TOUR CORP LTD,IRCTC,IRCTC-EQ,13611,Ok,25-07-2023 09:15:00,1690256700,3140.00,3230.00,3140.00,3230.00,3194.27,32585,0,32585,0
ORACLE FIN SERV SOFT LTD.,OFSS,OFSS-EQ,10738,Ok,25-07-2023 09:15:00,1690256700,37590.00,37677.95,37250.00,37260.10,37436.14,1262,0,1262,0
PAGE INDUSTRIES LTD,PAGEIND,PAGEIND-EQ,14413,Ok,25-07-2023 09:15:00,1690256700,621.60,625.00,619.80,622.85,622.80,94535,0,94535,0
JK CEMENT LIMITED,JKCEMENT,JKCEMENT-EQ,13270,Ok,25-07-2023 09:15:00,1690256700,3845.00,3853.25,3825.60,3852.95,3837.93,3580,0,3580,0
PERSISTENT SYSTEMS LTD,PERSISTENT,PERSISTENT-EQ,18365,Ok,25-07-2023 09:15:00,1690256700,3631.00,3648.70,3597.05,3600.00,3619.44,25303,0,25303,0
PI INDUSTRIES LTD,PIIND,PIIND-EQ,24184,Ok,25-07-2023 09:15:00,1690256700,4800.00,4808.35,4737.20,4747.35,4759.89,39212,0,39212,0
