UNDERLYING,SYMBOL,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
TATA CONSUMER PRODUCT LTD,TATACONSUM,TATACONSUM-EQ,3432,Ok,25-07-2023 09:15:00,1690256700,776.00,776.65,770.00,772.00,773.00,22615,0,22615,0
ICICI BANK LTD.,ICICIBANK,ICICIBANK-EQ,4963,Ok,25-07-2023 09:15:00,1690256700,636.40,639.90,633.65,639.10,637.45,2471358,0,2471358,0
TATA MOTORS LIMITED,TATAMOTORS,TATAMOTORS-EQ,3456,Ok,25-07-2023 09:15:00,1690256700,863.05,864.85,858.20,860.00,862.41,45632,0,45632,0
TATA POWER CO LTD,TATAPOWER,TATAPOWER-EQ,3426,Ok,25-07-2023 09:15:00,1690256700,1502.10,1502.10,1487.55,1489.35,1494.65,10670,0,10670,0
INDUSIND BANK LIMITED,INDUSINDBK,INDUSINDBK-EQ,5258,Ok,25-07-2023 09:15:00,1690256700,1441.25,1444.45,1438.05,1443.05,1441.69,320139,0,320139,0
TITAN COMPANY LIMITED,TITAN,TITAN-EQ,3506,Ok,25-07-2023 09:15:00,1690256700,217.80,219.75,217.60,219.30,218.93,696382,0,696382,0
TORRENT PHARMACEUTICALS L,TORNTPHARM,TORNTPHARM-EQ,3518,Ok,25-07-2023 09:15:00,1690256700,1941.55,1972.30,1941.55,1955.20,1963.59,13650,0,13650,0
UNITED BREWERIES LTD,UBL,UBL-EQ,16713,Ok,25-07-2023 09:15:00,1690256700,2984.70,2994.00,2972.80,2984.75,2981.92,65780,0,65780,0
ULTRATECH CEMENT LIMITED,ULTRACEMCO,ULTRACEMCO-EQ,11532,Ok,25-07-2023 09:15:00,1690256700,634.00,634.90,625.25,626.50,629.77,356183,0,356183,0
UPL LIMITED,UPL,UPL-EQ,11287,Ok,25-07-2023 09:15:00,1690256700,8245.00,8368.60,8244.75,8345.90,8317.87,86511,0,86511,0
VOLTAS LTD,VOLTAS,VOLTAS-EQ,3718,Ok,25-07-2023 09:15:00,1690256700,768.75,769.55,765.75,766.45,767.77,40489,0,40489,0
JUBILANT FOODWORKS LTD,JUBLFOOD,JUBLFOOD-EQ,18096,Ok,25-07-2023 09:15:00,1690256700,468.60,470.60,468.20,468.70,469.32,100390,0,100390,0
ZEE ENTERTAINMENT ENT LTD,ZEEL,ZEEL-EQ,3812,Ok,25-07-2023 09:15:00,1690256700,614.80,620.95,613.00,620.50,618.67,78799,0,78799,0
ZYDUS LIFESCIENCES LTD,ZYDUSLIFE,ZYDUSLIFE-EQ,7929,Ok,25-07-2023 09:15:00,1690256700,222.15,224.25,221.40,223.30,223.39,791720,0,791720,0
MANAPPURAM FINANCE LTD,MANAPPURAM,MANAPPURAM-EQ,19061,Ok,25-07-2023 09:15:00,1690256700,126.65,129.20,126.20,128.85,128.24,2679827,0,2679827,0
ACC LIMITED,ACC,ACC-EQ,22,Ok,25-07-2023 09:15:00,1690256700,1810.15,1857.95,1810.15,1850.30,1843.30,349698,0,349698,0
VEDANTA LIMITED,VEDL,VEDL-EQ,3063,Ok,25-07-2023 09:15:00,1690256700,273.15,274.40,272.10,274.00,273.55,1207940,0,1207940,0
JINDAL STEEL & POWER LTD,JINDALSTEL,JINDALSTEL-EQ,6733,Ok,25-07-2023 09:15:00,1690256700,779.05,786.45,779.05,784.00,783.75,314033,0,314033,0
JSW STEEL LIMITED,JSWSTEEL,JSWSTEEL-EQ,11723,Ok,25-07-2023 09:15:00,1690256700,685.95,686.25,679.30,682.25,683.23,27686,0,27686,0
CONTAINER CORP OF IND LTD,CONCOR,CONCOR-EQ,4749,Ok,25-07-2023 09:15:00,1690256700,635.80,638.30,633.65,634.95,635.99,177006,0,177006,0
NMDC LTD.,NMDC,NMDC-EQ,15332,Ok,25-07-2023 09:15:00,1690256700,111.30,112.10,111.05,111.75,111.78,556101,0,556101,0
POLYCAB INDIA LIMITED,POLYCAB,POLYCAB-EQ,9590,Ok,25-07-2023 09:15:00,1690256700,4739.00,4784.00,4710.00,4735.00,4751.30,193932,0,193932,0
SIEMENS LTD,SIEMENS,SIEMENS-EQ,3150,Ok,25-07-2023 09:15:00,1690256700,3694.90,3725.00,3686.45,3717.30,3714.29,22216,0,22216,0
CANARA BANK,CANBK,CANBK-EQ,10794,Ok,25-07-2023 09:15:00,1690256700,341.85,342.50,336.30,337.90,339.53,1834574,0,1834574,0
MULTI COMMODITY EXCHANGE,MCX,MCX-EQ,31181,Ok,25-07-2023 09:15:00,1690256700,97.35,98.30,97.10,98.05,97.75,1440124,0,1440124,0
MAHANAGAR GAS LTD.,MGL,MGL-EQ,17534,Ok,25-07-2023 09:15:00,1690256700,1660.10,1669.85,1639.70,1641.90,1656.96,53580,0,53580,0
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON,MOTHERSON-EQ,4204,Ok,25-07-2023 09:15:00,1690256700,1050.20,1053.85,1043.25,1053.30,1047.59,12936,0,12936,0
ITC LTD,ITC,ITC-EQ,1660,Ok,25-07-2023 09:15:00,1690256700,1494.00,1502.50,1485.30,1485.30,1493.87,35049,0,35049,0
PVR INOX LIMITED,PVRINOX,PVRINOX-EQ,13147,Ok,25-07-2023 09:15:00,1690256700,466.85,468.40,456.90,458.30,462.51,8974257,0,8974257,0
SUN TV NETWORK LIMITED,SUNTV,SUNTV-EQ,13404,Ok,25-07-2023 09:15:00,1690256700,993.85,1000.00,988.15,1000.00,994.91,117059,0,117059,0
PIRAMAL ENTERPRISES LTD,PEL,PEL-EQ,2412,Ok,25-07-2023 09:15:00,1690256700,241.80,243.45,239.90,241.35,241.86,2316299,0,2316299,0
POWER FIN CORP LTD.,PFC,PFC-EQ,14299,Ok,25-07-2023 09:15:00,1690256700,543.00,544.25,539.00,540.15,541.49,86420,0,86420,0
TATA STEEL LIMITED,TATASTEEL,TATASTEEL-EQ,3499,Ok,25-07-2023 09:15:00,1690256700,114.80,116.25,114.50,116.15,115.30,10140858,0,10140858,0
GODREJ PROPERTIES LTD,GODREJPROP,GODREJPROP-EQ,17875,Ok,25-07-2023 09:15:00,1690256700,1650.00,1655.95,1643.30,1653.05,1651.26,24764,0,24764,0
VODAFONE IDEA LIMITED,IDEA,IDEA-EQ,14366,Ok,25-07-2023 09:15:00,1690256700,8.00,8.05,7.90,8.00,7.97,9194417,0,9194417,0
MPHASIS LIMITED,MPHASIS,MPHASIS-EQ,4503,Ok,25-07-2023 09:15:00,1690256700,2272.55,2281.65,2252.65,2267.10,2269.55,52162,0,52162,0
