token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
30108,ADITYA BIRLA FASHION & RT,ABFRL,ABFRL-EQ,Ok,07-08-2023 09:15:00,1691379900,209.3,209.3,200.25,201.35,202.82,1974407,0,2000455,0,-7.950000000000017,-3.7983755375059802
21690,DIXON TECHNO (INDIA) LTD,DIXON,DIXON-EQ,Ok,07-08-2023 09:15:00,1691379900,4581.1,4581.1,4386.1,4442.4,4438.4,275326,0,279546,0,-138.70000000000073,-3.0276571129204934
30125,INDIABULLS HSG FIN LTD,IBULHSGFIN,IBULHSGFIN-EQ,Ok,07-08-2023 09:15:00,1691379900,166.6,167.1,162.1,162.7,164.53,1880964,0,1942472,0,-3.9000000000000057,-2.3409363745498233
17939,HINDUSTAN COPPER LTD,HINDCOPPER,HINDCOPPER-EQ,Ok,07-08-2023 09:15:00,1691379900,155.25,155.25,150.6,152.0,152.07,1557727,0,1613478,0,-3.25,-2.0933977455716586
3063,VEDANTA LIMITED,VEDL,VEDL-EQ,Ok,07-08-2023 09:15:00,1691379900,247.9,248.15,242.45,243.35,244.15,5440850,0,5557749,0,-4.550000000000011,-1.8354175070593024
341,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,BALRAMCHIN-EQ,Ok,07-08-2023 09:15:00,1691379900,421.7,421.7,410.9,414.0,415.02,1174438,0,1243485,0,-7.699999999999989,-1.8259426132321528
21614,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,ABCAPITAL-EQ,Ok,07-08-2023 09:15:00,1691379900,189.65,189.65,186.4,186.55,187.37,399642,0,407636,0,-3.0999999999999943,-1.634590034273659
8479,TVS MOTOR COMPANY  LTD,TVSMOTOR,TVSMOTOR-EQ,Ok,07-08-2023 09:15:00,1691379900,1357.35,1357.4,1337.4,1339.85,1344.49,97818,0,98390,0,-17.5,-1.2892768998416033
163,APOLLO TYRES LTD,APOLLOTYRE,APOLLOTYRE-EQ,Ok,07-08-2023 09:15:00,1691379900,439.95,440.75,434.05,434.5,436.42,155236,0,159412,0,-5.449999999999989,-1.238777133765198
4717,GAIL (INDIA) LTD,GAIL,GAIL-EQ,Ok,07-08-2023 09:15:00,1691379900,116.55,116.55,114.9,115.15,115.4,1309206,0,1340692,0,-1.3999999999999915,-1.201201201201194
