ordtime,sym,tsym,token,instrument,lotsize,qty,avgprice,totalprice,netprice,trantype
2023-08-07 12:15:00,RECLTD,RECLTD31AUG23C210,54701,OPTSTK,8000,8000,6.7,53600.0,-53600.0,B
2023-08-07 12:15:00,LUPIN,LUPIN31AUG23C1080,39529,OPTSTK,850,2550,34.9,88995.0,-88995.0,B
2023-08-07 12:15:00,ABFRL,ABFRL31AUG23P200,66979,OPTSTK,2600,13000,6.85,89050.0,-89050.0,B
2023-08-07 12:15:00,DIXON,DIXON31AUG23P4500,112834,OPTSTK,200,400,168.45,67380.0,-67380.0,B
2023-08-07 12:15:00,HINDCOPPER,HINDCOPPER31AUG23P149,38808,OPTSTK,5300,10600,7.1,75260.0,-75260.0,B
2023-08-07 12:15:00,VEDL,VEDL31AUG23P241.5,149834,OPTSTK,2000,10000,9.35,93500.0,-93500.0,B
2023-08-07 12:16:00,RECLTD,RECLTD31AUG23C210,54701,OPTSTK,8000,8000,6.75,54000.0,54000.0,S
2023-08-07 12:16:00,LUPIN,LUPIN31AUG23C1080,39529,OPTSTK,850,2550,35.3,90015.0,90015.0,S
2023-08-07 12:58:00,ABFRL,ABFRL31AUG23P200,66979,OPTSTK,2600,13000,6.55,85150.0,85150.0,S
2023-08-07 13:15:00,RECLTD,RECLTD31AUG23C210,54701,OPTSTK,8000,8000,6.85,54800.0,-54800.0,B
2023-08-07 13:16:00,RECLTD,RECLTD31AUG23C210,54701,OPTSTK,8000,8000,6.85,54800.0,54800.0,S
2023-08-07 13:33:00,DIXON,DIXON31AUG23P4500,112834,OPTSTK,200,400,146.0,58400.0,58400.0,S
2023-08-07 14:15:00,RECLTD,RECLTD31AUG23C212.5,54711,OPTSTK,8000,16000,6.0,96000.0,-96000.0,B
2023-08-07 14:15:00,DEEPAKNTR,DEEPAKNTR31AUG23C2060,111990,OPTSTK,300,1200,73.2,87840.0,-87840.0,B
2023-08-07 14:15:00,BHEL,BHEL31AUG23C96,98534,OPTSTK,10500,21000,3.7,77700.0,-77700.0,B
2023-08-07 14:16:00,RECLTD,RECLTD31AUG23C212.5,54711,OPTSTK,8000,16000,6.0,96000.0,96000.0,S
2023-08-07 14:16:00,DEEPAKNTR,DEEPAKNTR31AUG23C2060,111990,OPTSTK,300,1200,73.2,87840.0,87840.0,S
2023-08-07 14:16:00,BHEL,BHEL31AUG23C96,98534,OPTSTK,10500,21000,3.7,77700.0,77700.0,S
2023-08-07 14:19:00,VEDL,VEDL31AUG23P241.5,149834,OPTSTK,2000,10000,10.4,104000.0,104000.0,S
2023-08-07 15:15:00,RECLTD,RECLTD31AUG23C212.5,54711,OPTSTK,8000,8000,6.4,51200.0,-51200.0,B
2023-08-07 15:15:00,DEEPAKNTR,DEEPAKNTR31AUG23C2040,111988,OPTSTK,300,1200,80.35,96420.0,-96420.0,B
2023-08-07 15:15:00,BHEL,BHEL31AUG23C97,98536,OPTSTK,10500,21000,3.5,73500.0,-73500.0,B
2023-08-07 15:15:00,IBULHSGFIN,IBULHSGFIN31AUG23P165,38455,OPTSTK,5100,10200,8.55,87210.0,-87210.0,B
2023-08-07 15:15:00,VEDL,VEDL31AUG23P237.5,178928,OPTSTK,2000,12000,8.2,98400.0,-98400.0,B
2023-08-07 15:26:00,RECLTD,RECLTD31AUG23C212.5,54711,OPTSTK,8000,8000,6.25,50000.0,50000.0,S
2023-08-07 15:26:00,DEEPAKNTR,DEEPAKNTR31AUG23C2040,111988,OPTSTK,300,1200,77.7,93240.0,93240.0,S
2023-08-07 15:26:00,BHEL,BHEL31AUG23C97,98536,OPTSTK,10500,21000,3.5,73500.0,73500.0,S
2023-08-07 15:26:00,IBULHSGFIN,IBULHSGFIN31AUG23P165,38455,OPTSTK,5100,10200,8.55,87210.0,87210.0,S
2023-08-07 15:26:00,HINDCOPPER,HINDCOPPER31AUG23P149,38808,OPTSTK,5300,10600,7.1,75260.0,75260.0,S
2023-08-07 15:26:00,VEDL,VEDL31AUG23P237.5,178928,OPTSTK,2000,12000,8.7,104400.0,104400.0,S
