token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
341,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,BALRAMCHIN-EQ,Ok,03-08-2023 09:15:00,1691034300,398.90,405.80,398.50,404.45,402.86,128414,0,129501,0
2263,BANDHAN BANK LIMITED,BANDHANBNK,BANDHANBNK-EQ,Ok,03-08-2023 09:15:00,1691034300,224.50,225.65,223.20,225.30,224.88,1050835,0,1061701,0
422,BHARAT FORGE LTD,BHARATFORG,BHARATFORG-EQ,Ok,03-08-2023 09:15:00,1691034300,900.85,907.35,898.95,904.60,904.14,59539,0,61249,0
11957,IDFC LIMITED,IDFC,IDFC-EQ,Ok,03-08-2023 09:15:00,1691034300,118.50,119.35,118.00,119.00,118.69,810430,0,834967,0
10604,BHARTI AIRTEL LIMITED,BHARTIARTL,BHARTIARTL-EQ,Ok,03-08-2023 09:15:00,1691034300,874.20,875.30,867.00,874.30,870.22,279929,0,287146,0
438,BHEL,BHEL,BHEL-EQ,Ok,03-08-2023 09:15:00,1691034300,100.40,102.10,99.70,101.90,101.29,3478821,0,3512456,0
2181,BOSCH LIMITED,BOSCHLTD,BOSCHLTD-EQ,Ok,03-08-2023 09:15:00,1691034300,18275.25,18409.60,18275.25,18390.00,18346.46,4879,0,5171,0
526,BHARAT PETROLEUM CORP  LT,BPCL,BPCL-EQ,Ok,03-08-2023 09:15:00,1691034300,369.10,370.25,366.60,368.35,368.00,242996,0,246678,0
547,BRITANNIA INDUSTRIES LTD,BRITANNIA,BRITANNIA-EQ,Ok,03-08-2023 09:15:00,1691034300,4805.00,4809.60,4770.00,4804.85,4791.29,26860,0,27140,0
6994,BIRLASOFT LIMITED,BSOFT,BSOFT-EQ,Ok,03-08-2023 09:15:00,1691034300,421.00,429.80,420.40,429.65,426.80,199885,0,203310,0
11184,IDFC FIRST BANK LIMITED,IDFCFIRSTB,IDFCFIRSTB-EQ,Ok,03-08-2023 09:15:00,1691034300,87.05,87.90,86.75,87.35,87.36,3628219,0,3705765,0
583,CAN FIN HOMES LTD,CANFINHOME,CANFINHOME-EQ,Ok,03-08-2023 09:15:00,1691034300,722.85,729.75,720.50,723.90,725.48,77935,0,79908,0
1512,THE INDIAN HOTELS CO. LTD,INDHOTEL,INDHOTEL-EQ,Ok,03-08-2023 09:15:00,1691034300,395.65,396.80,392.55,396.35,394.71,136897,0,139304,0
685,CHOLAMANDALAM IN & FIN CO,CHOLAFIN,CHOLAFIN-EQ,Ok,03-08-2023 09:15:00,1691034300,1099.90,1106.20,1085.10,1087.00,1093.85,204853,0,206686,0
15141,COLGATE PALMOLIVE LTD.,COLPAL,COLPAL-EQ,Ok,03-08-2023 09:15:00,1691034300,1993.95,2004.60,1970.65,1982.35,1981.52,18588,0,18634,0
739,COROMANDEL INTERNTL. LTD,COROMANDEL,COROMANDEL-EQ,Ok,03-08-2023 09:15:00,1691034300,1023.95,1028.15,1017.30,1022.40,1023.25,48409,0,49534,0
17094,CROMPT GREA CON ELEC LTD,CROMPTON,CROMPTON-EQ,Ok,03-08-2023 09:15:00,1691034300,287.00,289.00,286.00,288.70,287.58,87735,0,89092,0
772,DABUR INDIA LTD,DABUR,DABUR-EQ,Ok,03-08-2023 09:15:00,1691034300,556.50,556.50,546.00,549.80,549.79,657272,0,677416,0
8075,DALMIA BHARAT LIMITED,DALBHARAT,DALBHARAT-EQ,Ok,03-08-2023 09:15:00,1691034300,1972.35,1973.20,1960.10,1971.00,1967.57,7509,0,7560,0
11195,INTERGLOBE AVIATION LTD,INDIGO,INDIGO-EQ,Ok,03-08-2023 09:15:00,1691034300,2549.30,2554.90,2462.00,2519.70,2501.28,901749,0,963885,0
19943,DEEPAK NITRITE LTD,DEEPAKNTR,DEEPAKNTR-EQ,Ok,03-08-2023 09:15:00,1691034300,2003.30,2012.00,1995.25,2000.90,2003.30,43281,0,43839,0
15044,DELTA CORP LIMITED,DELTACORP,DELTACORP-EQ,Ok,03-08-2023 09:15:00,1691034300,188.60,189.70,181.75,189.35,186.23,4863632,0,4983758,0
4668,BANK OF BARODA,BANKBARODA,BANKBARODA-EQ,Ok,03-08-2023 09:15:00,1691034300,195.10,195.25,194.15,194.80,194.78,1981251,0,2014356,0
14732,DLF LIMITED,DLF,DLF-EQ,Ok,03-08-2023 09:15:00,1691034300,492.45,496.40,490.30,494.30,493.03,486345,0,492042,0
1594,INFOSYS LIMITED,INFY,INFY-EQ,Ok,03-08-2023 09:15:00,1691034300,1349.95,1359.50,1349.10,1359.40,1355.28,744757,0,774750,0
881,DR. REDDY S LABORATORIES,DRREDDY,DRREDDY-EQ,Ok,03-08-2023 09:15:00,1691034300,5645.05,5724.00,5645.05,5721.25,5695.20,49175,0,49511,0
958,ESCORTS KUBOTA LIMITED,ESCORTS,ESCORTS-EQ,Ok,03-08-2023 09:15:00,1691034300,2595.00,2595.80,2572.20,2586.25,2581.59,33945,0,34760,0
10999,MARUTI SUZUKI INDIA LTD.,MARUTI,MARUTI-EQ,Ok,03-08-2023 09:15:00,1691034300,9560.05,9598.10,9547.50,9578.20,9571.88,59024,0,61750,0
1023,FEDERAL BANK LTD,FEDERALBNK,FEDERALBNK-EQ,Ok,03-08-2023 09:15:00,1691034300,132.50,132.60,131.25,132.40,132.21,857250,0,870025,0
10447,UNITED SPIRITS LIMITED,MCDOWELL-N,MCDOWELL-N-EQ,Ok,03-08-2023 09:15:00,1691034300,1003.60,1006.35,996.90,1003.25,1001.84,40715,0,41053,0
4717,GAIL (INDIA) LTD,GAIL,GAIL-EQ,Ok,03-08-2023 09:15:00,1691034300,116.25,116.85,115.00,116.60,115.87,1828045,0,1860100,0
2142,MAX FINANCIAL SERV LTD,MFSL,MFSL-EQ,Ok,03-08-2023 09:15:00,1691034300,772.45,780.60,769.95,779.95,776.01,19525,0,20329,0
7406,GLENMARK PHARMACEUTICALS,GLENMARK,GLENMARK-EQ,Ok,03-08-2023 09:15:00,1691034300,780.75,799.45,779.00,799.30,790.86,135570,0,136254,0
13528,GMR AIRPORTS INFRA LTD,GMRINFRA,GMRINFRA-EQ,Ok,03-08-2023 09:15:00,1691034300,51.10,51.40,50.75,51.40,51.10,583903,0,600764,0
1174,GUJ NAR VAL FER & CHEM L,GNFC,GNFC-EQ,Ok,03-08-2023 09:15:00,1691034300,582.00,587.15,581.65,586.55,584.83,87276,0,89053,0
6364,NATIONAL ALUMINIUM CO LTD,NATIONALUM,NATIONALUM-EQ,Ok,03-08-2023 09:15:00,1691034300,92.05,92.65,91.00,92.60,91.91,1069260,0,1074188,0
2303,HINDUSTAN AERONAUTICS LTD,HAL,HAL-EQ,Ok,03-08-2023 09:15:00,1691034300,3737.00,3766.00,3701.55,3765.35,3738.05,119116,0,121851,0
9819,HAVELLS INDIA LIMITED,HAVELLS,HAVELLS-EQ,Ok,03-08-2023 09:15:00,1691034300,1306.00,1308.80,1296.40,1305.00,1303.42,36850,0,37622,0
1333,HDFC BANK LTD,HDFCBANK,HDFCBANK-EQ,Ok,03-08-2023 09:15:00,1691034300,1640.50,1650.95,1637.65,1649.55,1646.02,1208893,0,1291608,0
13751,INFO EDGE (I) LTD,NAUKRI,NAUKRI-EQ,Ok,03-08-2023 09:15:00,1691034300,4530.20,4564.10,4530.20,4548.70,4547.32,17168,0,17343,0
1348,HERO MOTOCORP LIMITED,HEROMOTOCO,HEROMOTOCO-EQ,Ok,03-08-2023 09:15:00,1691034300,2979.90,3015.15,2968.45,3014.05,2994.03,112717,0,116192,0
