company,symbol,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
ICICI BANK LTD.,ICICIBANK,ICICIBANK-EQ,4963,Ok,28-07-2023 09:15:00,1690515900,854.00,855.90,842.00,855.85,849.38,285326,0,289257,0
TATA MOTORS LIMITED,TATAMOTORS,TATAMOTORS-EQ,3456,Ok,28-07-2023 09:15:00,1690515900,1990.00,2033.95,1988.05,2006.50,2017.15,96108,0,96282,0
TATA POWER CO LTD,TATAPOWER,TATAPOWER-EQ,3426,Ok,28-07-2023 09:15:00,1690515900,1415.60,1418.75,1413.05,1417.80,1416.03,55034,0,55932,0
INDUSIND BANK LIMITED,INDUSINDBK,INDUSINDBK-EQ,5258,Ok,28-07-2023 09:15:00,1690515900,1560.00,1564.60,1553.00,1556.15,1558.91,37842,0,38911,0
TITAN COMPANY LIMITED,TITAN,TITAN-EQ,3506,Ok,28-07-2023 09:15:00,1690515900,3010.00,3010.00,2983.15,2988.10,2990.34,55759,0,56583,0
TORRENT PHARMACEUTICALS L,TORNTPHARM,TORNTPHARM-EQ,3518,Ok,28-07-2023 09:15:00,1690515900,221.00,221.25,220.10,220.20,220.65,416085,0,438706,0
UNITED BREWERIES LTD,UBL,UBL-EQ,16713,Ok,28-07-2023 09:15:00,1690515900,645.05,645.30,639.00,639.80,641.99,1030773,0,1061352,0
ULTRATECH CEMENT LIMITED,ULTRACEMCO,ULTRACEMCO-EQ,11532,Ok,28-07-2023 09:15:00,1690515900,645.00,646.75,642.15,642.85,644.59,91123,0,93648,0
UPL LIMITED,UPL,UPL-EQ,11287,Ok,28-07-2023 09:15:00,1690515900,8290.35,8341.65,8255.45,8279.45,8298.01,18507,0,18664,0
VOLTAS LTD,VOLTAS,VOLTAS-EQ,3718,Ok,28-07-2023 09:15:00,1690515900,471.25,475.20,469.55,473.35,473.27,149287,0,150925,0
JUBILANT FOODWORKS LTD,JUBLFOOD,JUBLFOOD-EQ,18096,Ok,28-07-2023 09:15:00,1690515900,759.30,763.45,758.85,760.75,761.30,55657,0,56047,0
ZEE ENTERTAINMENT ENT LTD,ZEEL,ZEEL-EQ,3812,Ok,28-07-2023 09:15:00,1690515900,628.40,628.40,622.35,625.40,624.48,346291,0,354698,0
ZYDUS LIFESCIENCES LTD,ZYDUSLIFE,ZYDUSLIFE-EQ,7929,Ok,28-07-2023 09:15:00,1690515900,235.85,238.10,235.50,238.00,236.72,806808,0,819810,0
MANAPPURAM FINANCE LTD,MANAPPURAM,MANAPPURAM-EQ,19061,Ok,28-07-2023 09:15:00,1690515900,658.05,659.80,649.00,649.20,652.50,218883,0,220106,0
ACC LIMITED,ACC,ACC-EQ,22,Ok,28-07-2023 09:15:00,1690515900,1947.15,1974.35,1926.55,1930.00,1951.19,527383,0,553365,0
VEDANTA LIMITED,VEDL,VEDL-EQ,3063,Ok,28-07-2023 09:15:00,1690515900,674.50,677.95,671.45,677.30,675.04,34025,0,34426,0
JINDAL STEEL & POWER LTD,JINDALSTEL,JINDALSTEL-EQ,6733,Ok,28-07-2023 09:15:00,1690515900,277.60,277.60,276.30,277.15,276.92,459125,0,467066,0
JSW STEEL LIMITED,JSWSTEEL,JSWSTEEL-EQ,11723,Ok,28-07-2023 09:15:00,1690515900,139.15,139.60,137.55,137.75,138.90,788735,0,804756,0
CONTAINER CORP OF IND LTD,CONCOR,CONCOR-EQ,4749,Ok,28-07-2023 09:15:00,1690515900,796.00,796.25,787.85,788.10,790.70,288208,0,289673,0
NMDC LTD.,NMDC,NMDC-EQ,15332,Ok,28-07-2023 09:15:00,1690515900,4705.15,4725.00,4684.35,4685.85,4706.21,38556,0,39932,0
POLYCAB INDIA LIMITED,POLYCAB,POLYCAB-EQ,9590,Ok,28-07-2023 09:15:00,1690515900,1111.70,1122.00,1089.00,1089.10,1106.97,187723,0,194749,0
SIEMENS LTD,SIEMENS,SIEMENS-EQ,3150,Ok,28-07-2023 09:15:00,1690515900,345.90,345.90,341.55,343.30,343.09,826108,0,836154,0
CANARA BANK,CANBK,CANBK-EQ,10794,Ok,28-07-2023 09:15:00,1690515900,112.10,112.10,111.25,111.45,111.60,533869,0,556835,0
MULTI COMMODITY EXCHANGE,MCX,MCX-EQ,31181,Ok,28-07-2023 09:15:00,1690515900,3764.75,3764.75,3745.65,3749.40,3753.90,5515,0,5662,0
MAHANAGAR GAS LTD.,MGL,MGL-EQ,17534,Ok,28-07-2023 09:15:00,1690515900,1663.75,1663.75,1633.35,1649.15,1648.62,32417,0,32448,0
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON,MOTHERSON-EQ,4204,Ok,28-07-2023 09:15:00,1690515900,1104.40,1111.80,1083.40,1085.75,1096.66,715796,0,726288,0
ITC LTD,ITC,ITC-EQ,1660,Ok,28-07-2023 09:15:00,1690515900,535.65,549.90,534.70,546.90,543.86,802646,0,812025,0
PVR INOX LIMITED,PVRINOX,PVRINOX-EQ,13147,Ok,28-07-2023 09:15:00,1690515900,253.45,255.50,252.25,252.85,253.77,1146102,0,1165968,0
SUN TV NETWORK LIMITED,SUNTV,SUNTV-EQ,13404,Ok,28-07-2023 09:15:00,1690515900,1549.15,1559.00,1545.05,1558.80,1552.76,62896,0,64684,0
PIRAMAL ENTERPRISES LTD,PEL,PEL-EQ,2412,Ok,28-07-2023 09:15:00,1690515900,100.80,100.80,97.35,97.75,98.31,2885438,0,2903171,0
POWER FIN CORP LTD.,PFC,PFC-EQ,14299,Ok,28-07-2023 09:15:00,1690515900,468.65,468.70,465.60,468.45,467.13,1167613,0,1242157,0
TATA STEEL LIMITED,TATASTEEL,TATASTEEL-EQ,3499,Ok,28-07-2023 09:15:00,1690515900,8.50,8.55,8.30,8.40,8.38,25010330,0,25615018,0
GODREJ PROPERTIES LTD,GODREJPROP,GODREJPROP-EQ,17875,Ok,28-07-2023 09:15:00,1690515900,1714.95,1741.00,1711.00,1740.80,1731.47,255895,0,257614,0
VODAFONE IDEA LIMITED,IDEA,IDEA-EQ,14366,Ok,28-07-2023 09:15:00,1690515900,2299.10,2299.10,2256.15,2271.95,2270.94,33040,0,33985,0
MPHASIS LIMITED,MPHASIS,MPHASIS-EQ,4503,Ok,28-07-2023 09:15:00,1690515900,120.25,120.25,119.05,119.35,119.46,2405592,0,2471889,0
