company,symbol,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
INTELLECT DESIGN ARENA,INTELLECT,INTELLECT-EQ,5926,Ok,28-07-2023 09:15:00,1690515900,603.5,644.45,603.5,643.75,629.48,1996432,0,2040144,0,40.25,6.669428334714167
COLGATE PALMOLIVE LTD.,COLPAL,COLPAL-EQ,15141,Ok,28-07-2023 09:15:00,1690515900,197.4,204.4,197.4,203.4,202.06,4301549,0,4329748,0,6.0,3.0395136778115504
STEEL AUTHORITY OF INDIA,SAIL,SAIL-EQ,2963,Ok,28-07-2023 09:15:00,1690515900,234.1,239.9,234.05,239.9,237.62,6120261,0,6166207,0,5.800000000000011,2.477573686458783
ICICI PRU LIFE INS CO LTD,ICICIPRULI,ICICIPRULI-EQ,18652,Ok,28-07-2023 09:15:00,1690515900,120.25,122.95,120.0,122.8,121.52,2514569,0,2610722,0,2.549999999999997,2.1205821205821183
ITC LTD,ITC,ITC-EQ,1660,Ok,28-07-2023 09:15:00,1690515900,535.65,549.9,534.7,546.9,543.86,802646,0,812025,0,11.25,2.1002520302436296
BIRLASOFT LIMITED,BSOFT,BSOFT-EQ,6994,Ok,28-07-2023 09:15:00,1690515900,405.25,413.0,400.3,412.7,406.17,1044917,0,1064948,0,7.449999999999989,1.8383713756940132
DR. REDDY S LABORATORIES,DRREDDY,DRREDDY-EQ,881,Ok,28-07-2023 09:15:00,1690515900,2462.2,2509.35,2450.0,2505.3,2491.24,95924,0,96039,0,43.100000000000364,1.7504670619771086
CAN FIN HOMES LTD,CANFINHOME,CANFINHOME-EQ,583,Ok,28-07-2023 09:15:00,1690515900,381.65,388.35,378.7,388.3,383.11,1997218,0,2097618,0,6.650000000000034,1.7424341674309012
BANK OF BARODA,BANKBARODA,BANKBARODA-EQ,4668,Ok,28-07-2023 09:15:00,1690515900,2010.05,2062.1,1992.5,2042.4,2034.79,436242,0,438013,0,32.350000000000136,1.6094127011765946
THE INDIA CEMENTS LIMITED,INDIACEM,INDIACEM-EQ,1515,Ok,28-07-2023 09:15:00,1690515900,3017.0,3069.95,3007.1,3063.95,3050.54,55828,0,56463,0,46.94999999999982,1.5561816373881279
