ord_number,ordtime,sym,tsym,token,instrument,lotsize,qty,avgprice,totalprice,netprice,trantype,status
1059571,2023-08-03 09:31:00,AUROPHARMA,AUROPHARMA-EQ,275,Eq,1,58,850.3,49317.399999999994,-49317.399999999994,B,N
5377024,2023-08-03 09:31:00,METROPOLIS,METROPOLIS-EQ,9581,Eq,1,35,1398.2,48937.0,-48937.0,B,N
3143752,2023-08-03 09:31:00,IBULHSGFIN,IBULHSGFIN-EQ,30125,Eq,1,323,154.5,49903.5,-49903.5,B,N
6817758,2023-08-03 09:31:00,PEL,PEL-EQ,2412,Eq,1,50,985.9,49295.0,-49295.0,B,N
8500773,2023-08-03 09:31:00,ABCAPITAL,ABCAPITAL-EQ,21614,Eq,1,257,194.2,49909.399999999994,-49909.399999999994,B,N
4282366,2023-08-03 09:31:00,HINDPETRO,HINDPETRO-EQ,1406,Eq,1,183,272.25,49821.75,49821.75,S,N
5780584,2023-08-03 09:31:00,OBEROIRLTY,OBEROIRLTY-EQ,20242,Eq,1,45,1098.6,49436.99999999999,49436.99999999999,S,N
7185399,2023-08-03 09:31:00,UPL,UPL-EQ,11287,Eq,1,83,602.4,49999.2,49999.2,S,N
4508152,2023-08-03 09:31:00,DABUR,DABUR-EQ,772,Eq,1,90,550.8,49571.99999999999,49571.99999999999,S,N
8790216,2023-08-03 09:31:00,CHOLAFIN,CHOLAFIN-EQ,685,Eq,1,45,1089.25,49016.25,49016.25,S,N
6506223,2023-08-03 09:40:00,AUROPHARMA,AUROPHARMA-EQ,275,Eq,1,58,850.1,49305.8,49305.8,S,N
8857208,2023-08-03 09:40:00,METROPOLIS,METROPOLIS-EQ,9581,Eq,1,35,1382.3,48380.5,48380.5,S,N
3113296,2023-08-03 09:40:00,IBULHSGFIN,IBULHSGFIN-EQ,30125,Eq,1,323,153.2,49483.6,49483.6,S,N
8862977,2023-08-03 09:40:00,PEL,PEL-EQ,2412,Eq,1,50,979.55,48977.5,48977.5,S,N
5322590,2023-08-03 09:45:00,ABCAPITAL,ABCAPITAL-EQ,21614,Eq,1,257,193.0,49601.0,49601.0,S,N
2629172,2023-08-03 15:26:00,HINDPETRO,HINDPETRO-EQ,1406,Eq,1,183,270.5,49501.5,-49501.5,B,N
4583338,2023-08-03 15:26:00,OBEROIRLTY,OBEROIRLTY-EQ,20242,Eq,1,45,1100.0,49500.0,-49500.0,B,N
7874919,2023-08-03 15:26:00,UPL,UPL-EQ,11287,Eq,1,83,600.65,49853.95,-49853.95,B,N
5427357,2023-08-03 15:26:00,DABUR,DABUR-EQ,772,Eq,1,90,556.0,50040.0,-50040.0,B,N
2799035,2023-08-03 15:26:00,CHOLAFIN,CHOLAFIN-EQ,685,Eq,1,45,1068.7,48091.5,-48091.5,B,N
3065338,2023-08-03 12:15:00,AUROPHARMA,AUROPHARMA31AUG23C840,42917,OPTSTK,1100,1100,39.1,43010.0,-43010.0,B,N
3991704,2023-08-03 12:15:00,METROPOLIS,METROPOLIS31AUG23C1380,135363,OPTSTK,400,400,63.0,25200.0,-25200.0,B,N
5776378,2023-08-03 12:15:00,IBULHSGFIN,IBULHSGFIN31AUG23C152.5,128848,OPTSTK,5100,5100,8.1,41310.0,-41310.0,B,N
3449666,2023-08-03 12:15:00,PEL,PEL31AUG23C980,73886,OPTSTK,750,750,40.0,30000.0,-30000.0,B,N
1659867,2023-08-03 12:15:00,ABCAPITAL,ABCAPITAL31AUG23C192.5,65769,OPTSTK,5400,5400,6.95,37530.0,-37530.0,B,N
1330374,2023-08-03 12:15:00,HINDPETRO,HINDPETRO31AUG23P272.5,128470,OPTSTK,2700,5400,8.2,44279.99999999999,-44279.99999999999,B,N
7147899,2023-08-03 12:15:00,OBEROIRLTY,OBEROIRLTY31AUG23P1100,137807,OPTSTK,700,700,36.5,25550.0,-25550.0,B,N
7210461,2023-08-03 12:15:00,UPL,UPL31AUG23P605,178514,OPTSTK,1300,2600,15.0,39000.0,-39000.0,B,N
7727336,2023-08-03 12:15:00,CHOLAFIN,CHOLAFIN31AUG23P1070,105643,OPTSTK,1250,1250,32.0,40000.0,-40000.0,B,N
5180013,2023-08-03 12:16:00,AUROPHARMA,AUROPHARMA31AUG23C840,42917,OPTSTK,1100,1100,39.1,43010.0,43010.0,S,N
1372846,2023-08-03 12:16:00,METROPOLIS,METROPOLIS31AUG23C1380,135363,OPTSTK,400,400,64.0,25600.0,25600.0,S,N
4056301,2023-08-03 12:16:00,IBULHSGFIN,IBULHSGFIN31AUG23C152.5,128848,OPTSTK,5100,5100,8.15,41565.0,41565.0,S,N
3969865,2023-08-03 12:16:00,PEL,PEL31AUG23C980,73886,OPTSTK,750,750,40.0,30000.0,30000.0,S,N
8531165,2023-08-03 12:16:00,ABCAPITAL,ABCAPITAL31AUG23C192.5,65769,OPTSTK,5400,5400,6.95,37530.0,37530.0,S,N
6632179,2023-08-03 13:15:00,ABCAPITAL,ABCAPITAL31AUG23C192.5,65769,OPTSTK,5400,5400,6.75,36450.0,-36450.0,B,N
8823516,2023-08-03 13:15:00,HINDPETRO,HINDPETRO31AUG23P270,128468,OPTSTK,2700,5400,8.05,43470.00000000001,-43470.00000000001,B,N
3033901,2023-08-03 13:15:00,CHOLAFIN,CHOLAFIN31AUG23P1060,105641,OPTSTK,1250,1250,31.55,39437.5,-39437.5,B,N
5489910,2023-08-03 13:15:00,ABCAPITAL,ABCAPITAL31AUG23C192.5,65769,OPTSTK,5400,5400,6.75,36450.0,36450.0,S,N
7304569,2023-08-03 14:15:00,HINDPETRO,HINDPETRO31AUG23P270,128468,OPTSTK,2700,5400,8.3,44820.00000000001,-44820.00000000001,B,N
8570506,2023-08-03 14:15:00,OBEROIRLTY,OBEROIRLTY31AUG23P1080,137803,OPTSTK,700,1400,33.9,47460.0,-47460.0,B,N
5231055,2023-08-03 14:15:00,CHOLAFIN,CHOLAFIN31AUG23P1060,105641,OPTSTK,1250,1250,31.95,39937.5,-39937.5,B,N
3674374,2023-08-03 15:26:00,HINDPETRO,HINDPETRO31AUG23P272.5,128470,OPTSTK,2700,5400,8.8,47520.00000000001,47520.00000000001,S,N
4683215,2023-08-03 15:26:00,HINDPETRO,HINDPETRO31AUG23P270,128468,OPTSTK,2700,10800,7.4,79920.0,79920.0,S,N
1960393,2023-08-03 15:26:00,OBEROIRLTY,OBEROIRLTY31AUG23P1100,137807,OPTSTK,700,700,34.05,23834.999999999996,23834.999999999996,S,N
8630927,2023-08-03 15:26:00,OBEROIRLTY,OBEROIRLTY31AUG23P1080,137803,OPTSTK,700,1400,25.15,35210.0,35210.0,S,N
4928005,2023-08-03 15:26:00,UPL,UPL31AUG23P605,178514,OPTSTK,1300,2600,15.75,40950.0,40950.0,S,N
6746833,2023-08-03 15:26:00,CHOLAFIN,CHOLAFIN31AUG23P1070,105643,OPTSTK,1250,1250,30.95,38687.5,38687.5,S,N
9145121,2023-08-03 15:26:00,CHOLAFIN,CHOLAFIN31AUG23P1060,105641,OPTSTK,1250,2500,26.45,66125.0,66125.0,S,N
