ord_number,ordtime,exchange,sym,tsym,token,instrument,lotsize,qty,avgprice,margin,totalprice,netprice,trantype,status
5620766,2023-08-04 12:15:00,NFO,CIPLA,CIPLA31AUG23C1210,106407,OPTSTK,650,2600,33.25,86450.0,86450.0,-86450.0,B,N
9311406,2023-08-04 12:15:00,NFO,NAUKRI,NAUKRI31AUG23C4800,136767,OPTSTK,150,450,200.85,90382.5,90382.5,-90382.5,B,N
9195805,2023-08-04 12:15:00,NFO,LICHSGFIN,LICHSGFIN31AUG23C430,133475,OPTSTK,2000,6000,15.5,93000.0,93000.0,-93000.0,B,N
8441749,2023-08-04 12:15:00,NFO,DIXON,DIXON31AUG23C4600,112874,OPTSTK,200,400,183.35,73340.0,73340.0,-73340.0,B,N
7747669,2023-08-04 12:15:00,NFO,IBULHSGFIN,IBULHSGFIN31AUG23P165,38455,OPTSTK,5100,10200,9.0,91800.0,91800.0,-91800.0,B,N
1000695,2023-08-04 12:15:00,NFO,ABCAPITAL,ABCAPITAL31AUG23P187.5,65756,OPTSTK,5400,10800,6.2,66960.0,66960.0,-66960.0,B,N
7237725,2023-08-04 12:15:00,NFO,MGL,MGL31AUG23P1070,135598,OPTSTK,800,2400,41.65,99960.0,99960.0,-99960.0,B,N
3935181,2023-08-04 12:15:00,NFO,METROPOLIS,METROPOLIS31AUG23P1360,135362,OPTSTK,400,2000,48.05,96100.0,96100.0,-96100.0,B,N
5099040,2023-08-04 12:15:00,NFO,HINDPETRO,HINDPETRO31AUG23P270,128468,OPTSTK,2700,10800,7.6,82080.0,82080.0,-82080.0,B,N
4983649,2023-08-04 12:16:00,NFO,CIPLA,CIPLA31AUG23C1210,106407,OPTSTK,650,2600,33.5,86450.0,87100.0,87100.0,S,N
9049249,2023-08-04 12:16:00,NFO,NAUKRI,NAUKRI31AUG23C4800,136767,OPTSTK,150,450,203.9,90382.5,91755.0,91755.0,S,N
2479697,2023-08-04 12:16:00,NFO,LICHSGFIN,LICHSGFIN31AUG23C430,133475,OPTSTK,2000,6000,16.2,93000.0,97200.0,97200.0,S,N
7288820,2023-08-04 12:16:00,NFO,DIXON,DIXON31AUG23C4600,112874,OPTSTK,200,400,181.6,73340.0,72640.0,72640.0,S,N
8863370,2023-08-04 13:05:00,NFO,MGL,MGL31AUG23P1070,135598,OPTSTK,800,2400,47.65,99960.0,114360.0,114360.0,S,N
4230454,2023-08-04 13:15:00,NFO,LICHSGFIN,LICHSGFIN31AUG23C430,133475,OPTSTK,2000,6000,15.75,94500.0,94500.0,-94500.0,B,N
