token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,change,chperc
14977,POWER GRID CORP. LTD.,POWERGRID,POWERGRID-EQ,Ok,01-08-2023 09:15:00,1690861500,261.65,261.75,255.0,256.45,257.23,4000734,0,4000734,0,-5.199999999999989,-1.987387731702652
30125,INDIABULLS HSG FIN LTD,IBULHSGFIN,IBULHSGFIN-EQ,Ok,01-08-2023 09:15:00,1690861500,145.05,145.2,141.8,142.5,143.19,1961605,0,1961605,0,-2.5500000000000114,-1.758014477766295
157,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,APOLLOHOSP-EQ,Ok,01-08-2023 09:15:00,1690861500,5205.0,5207.5,5114.0,5118.9,5156.84,126308,0,126308,0,-86.10000000000036,-1.6541786743515923
17875,GODREJ PROPERTIES LTD,GODREJPROP,GODREJPROP-EQ,Ok,01-08-2023 09:15:00,1690861500,1749.5,1753.25,1723.55,1725.0,1735.24,46870,0,46870,0,-24.5,-1.4004001143183766
11287,UPL LIMITED,UPL,UPL-EQ,Ok,01-08-2023 09:15:00,1690861500,621.9,623.3,611.05,613.2,616.58,1379516,0,1379516,0,-8.699999999999932,-1.3989387361311998
11351,PETRONET LNG LIMITED,PETRONET,PETRONET-EQ,Ok,01-08-2023 09:15:00,1690861500,236.6,237.0,233.15,233.75,235.69,1244580,0,1244580,0,-2.8499999999999943,-1.2045646661031253
4306,SHRIRAM FINANCE LIMITED,SHRIRAMFIN,SHRIRAMFIN-EQ,Ok,01-08-2023 09:15:00,1690861500,1892.0,1897.45,1862.8,1871.75,1884.44,172375,0,172375,0,-20.25,-1.0702959830866807
15044,DELTA CORP LIMITED,DELTACORP,DELTACORP-EQ,Ok,01-08-2023 09:15:00,1690861500,200.9,201.6,198.4,198.9,199.93,780317,0,780317,0,-2.0,-0.9955201592832255
7406,GLENMARK PHARMACEUTICALS,GLENMARK,GLENMARK-EQ,Ok,01-08-2023 09:15:00,1690861500,798.6,798.6,790.05,791.25,793.12,92193,0,92193,0,-7.350000000000023,-0.9203606311044357
15355,REC LIMITED,RECLTD,RECLTD-EQ,Ok,01-08-2023 09:15:00,1690861500,203.15,204.55,201.2,201.4,203.01,2815335,0,2815335,0,-1.75,-0.8614324390844204
